id,Pos,GS,FGptg,X3Pptg,PF,PTS,AST,Salary
1,PF,25,0.404333333,0.125666667,4.966666667,12.53333333,2.466666667,5400000
2,SG,0,0.3225,0.275,2.85,11.15,3.15,555139.5
3,PF,7.333333333,0.495666667,0.355666667,4.966666667,10.2,1.433333333,789705
4,SG,4,0.432,0,3.1,10.15,0.8,354940.5
5,SG,0,0.407,0.4,3.5,13.6,2.3,1344120
6,C,43.5,0.5235,0,5.3,9.45,1.3,2137920
7,PF,3.4,0.449,0,5.1,11.34,1.62,662881.4
8,SG,54,0.4505,0.36825,2.75,14.05,2.4,4422597.125
9,SG,1,0.38275,0.31025,4.875,13.475,1.3,751656.25
10,PG,0,0.333,0.5,5.7,15.2,3.8,125562
11,C,3.5,0.464,0.08825,6.525,14.4,0.875,1274331
12,C,0,0.2805,0,3.15,6.7,1.05,800000
13,PF,9,0.513,0,6.4,6.2,1.9,3000000
14,C,4,0.52125,0,5.575,9.575,1.3,1959771
15,PF,67.44444444,0.487333333,0.195222222,2.777777778,19.55555556,1.933333333,9564767.444
16,SF,0,0.2915,0.174,8.3,9.5,2.3,2493240
17,C,13.5,0.4615,0.0385,3.925,10.075,2.125,1870441.75
18,PF,7.166666667,0.427666667,0.277833333,5.233333333,10.2,1.266666667,1383542.167
19,SG,55.11111111,0.459333333,0.405,2,17.65555556,2.877777778,11924338.89
20,SG,28.4,0.4824,0.229,3.92,13.81,2.42,2765096
21,SG,0.5,0.337,0.272,4.5,12.5,1.9,1043700
22,PG,66.6,0.3762,0.3448,2.36,12.4,5.54,4510626.6
23,SF,34.8,0.4332,0.2696,3.04,10.34,1.7,2589552.8
24,PF,5.25,0.461625,0,5.5375,9.6375,0.975,1082853.75
25,SG,10.8,0.4194,0.3368,3.4,13.3,2.16,721996.2
26,C,3,0.578875,0.178125,4.1375,11.2375,0.775,3614519.625
27,PF,0,0.4475,0.347,4.35,13.85,1.55,2400000
28,SG,14.33333333,0.387,0.339666667,3.8,12.3,3.833333333,7675495.667
29,SG,22,0.397666667,0.332666667,2.5,11.9,2.333333333,1247006.333
30,SF,8,0.348,0.273,2.8,7.4,2.8,1093680
31,PF,21.71428571,0.422571429,0.378857143,2.971428571,17.74285714,1.228571429,4527994.429
32,SF,1,0.429,0.263,4.2,7.1,1.7,8935000
33,C,0,0,0,4,0,0,398762
34,SG,47,0.4525,0.253,3.45,12.3,2.85,1832880
35,SF,67.3,0.458,0.3387,2.89,25.64,3.12,15162271.5
36,C,13.75,0.499125,0,4.075,5.6375,0.475,2526772.125
37,C,3,0.365,0.301,4.6,12.4,1.7,1250000
38,C,17,0.3905,0,5.95,8.85,1.2,2317080
39,PG,30.14285714,0.386714286,0.323714286,3.357142857,19.51428571,6.171428571,14447992.43
40,SF,40.1,0.4402,0.2888,2.65,12.8,2.7,5251434
41,PG,2.666666667,0.371333333,0.299333333,3.5,9.5,5.066666667,1178812.667
42,C,9.75,0.51125,0.125,5.775,9.175,0.925,1673320
43,PG,25.75,0.44775,0.33725,2.625,11.7,5.175,2632684.5
44,SF,55.66666667,0.411444444,0.345444444,2.8,14.35555556,2.788888889,6331593.444
45,PF,13.66666667,0.436166667,0.148166667,5.1,12.95,1.45,2141061.5
46,C,35.8,0.5298,0,3.88,9.72,1.14,5740487.6
47,PG,8.5,0.3605,0.31475,2.65,11.6,5.275,2826613.75
48,SF,3,0.342,0,3.7,6.6,2.2,1138500
49,PG,24.28571429,0.396,0.371,2.242857143,14.2,5.857142857,2591187.143
50,PF,0,0.431,0,7.3,10,5.4,550087
51,C,13.66666667,0.532333333,0,4.333333333,10,2.733333333,1522500
52,SF,21,0.47475,0.403,2.8,16.425,1.625,1755278.25
53,SF,5.75,0.3825,0.36975,3.425,11.525,1.275,1571901
54,PF,1,0.214,0,4.5,5.6,0.6,507336
55,C,1,0.467,0,5.5,11.4,1.7,9183333
56,SF,2,0.4745,0.212666667,5.633333333,9.983333333,1.7,1550702.833
57,PG,5.5,0.374833333,0.227166667,4.733333333,13.41666667,4.516666667,3837380
