Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2004-05,19,ORL,NBA,PF,82,2670,,,,79%,21%,-2.9,-0.5,47,53,65,115,,31,,160,181,29,60
2005-06,20,ORL,NBA,PF,82,3021,,,,71%,29%,+0.1,+5.2,50,70,97,149,,44,,275,272,65,85
2006-07,21,ORL,NBA,C,82,3023,,,,3%,97%,+1.3,+1.3,62,109,146,118,,46,,353,294,76,96
2007-08,22,ORL,NBA,C,82,3088,,,,,100%,+7.5,+8.0,46,83,134,133,,55,,258,385,91,78
2008-09,23,ORL,NBA,C,79,2821,,,,,100%,+10.2,+8.2,33,85,122,120,,61,,296,378,113,111
2009-10,24,ORL,NBA,C,82,2843,,,,,100%,+11.0,+9.4,51,79,144,134,,72,,362,355,79,76
2010-11,25,ORL,NBA,C,78,2935,,,,,100%,+8.4,+8.8,34,89,156,116,,72,,271,389,89,82
2011-12,26,ORL,NBA,C,54,2070,,,,,100%,+4.1,+8.8,25,65,85,71,,46,,270,236,58,55
2012-13,27,LAL,NBA,C,76,2722,,,,5%,95%,+2.6,+3.0,31,73,121,133,,62,2,273,275,62,77
2013-14,28,HOU,NBA,C,71,2396,,,,10%,90%,+6.9,+5.1,54,68,106,107,3,54,0,310,225,47,94
2014-15,29,HOU,NBA,C,41,1223,,,,,100%,+8.5,+7.0,25,32,58,55,2,34,1,126,119,29,37
2015-16,30,HOU,NBA,C,71,2280,,,,,100%,+0.3,+0.4,37,45,84,90,6,40,4,233,172,49,48
2016-17,31,ATL,NBA,C,45,1335,,,,,100%,0.0,+1.8,8,37,53,55,4,29,0,133,104,23,26
