Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2003-04,23,MEM,NBA,PF,4,4,134,11.7,20.4,.571,0.0,0.0,,11.7,20.4,.571,7.5,8.3,.900,1.7,6.7,8.3,4.2,1.7,2.5,2.1,4.2,30.8,,127,113
2004-05,24,MEM,NBA,PF,4,4,133,15.3,31.5,.488,0.4,0.4,1.000,15.0,31.1,.481,2.4,4.7,.500,5.9,5.9,11.8,3.9,0.8,2.8,2.8,4.7,33.4,,106,123
2005-06,25,MEM,NBA,PF,4,4,158,10.6,24.5,.433,0.0,0.4,.000,10.6,24.2,.439,8.4,11.0,.767,1.5,8.4,9.9,4.4,0.7,1.8,4.0,4.0,29.7,,99,114
2007-08,27,LAL,NBA,C,21,21,836,8.7,16.5,.530,0.0,0.0,,8.7,16.5,.530,4.5,6.4,.692,3.4,8.7,12.1,5.1,0.7,2.5,2.7,3.7,21.9,,115,107
2008-09,28,LAL,NBA,C,23,23,931,9.1,15.6,.580,0.0,0.0,,9.1,15.6,.580,5.7,7.9,.714,3.8,10.2,14.1,3.3,1.1,2.5,2.5,3.9,23.8,,124,102
2009-10,29,LAL,NBA,C,23,23,913,9.7,18.0,.539,0.0,0.2,.000,9.7,17.8,.545,7.0,9.3,.759,5.4,9.6,15.0,4.8,0.5,2.8,2.6,3.7,26.4,,126,107
2010-11,30,LAL,NBA,C,10,10,358,7.3,17.4,.420,0.2,0.3,.500,7.1,17.1,.418,5.6,7.0,.800,5.0,7.1,12.1,5.9,0.6,2.6,2.6,5.1,20.3,,111,109
2011-12,31,LAL,NBA,PF,12,12,444,7.5,17.3,.434,0.2,0.6,.400,7.3,16.7,.435,2.9,3.5,.828,4.6,9.2,13.8,5.3,0.7,3.0,2.4,4.4,18.2,,107,109
2012-13,32,LAL,NBA,PF,4,4,146,8.9,18.6,.481,0.0,0.0,,8.9,18.6,.481,2.1,3.9,.545,2.5,13.9,16.4,9.3,0.7,1.1,4.6,1.4,20.0,,96,111
2014-15,34,CHI,NBA,PF,10,10,317,9.4,19.3,.487,0.0,0.7,.000,9.4,18.6,.505,5.4,7.0,.762,2.8,12.9,15.7,5.2,0.8,3.5,3.5,3.0,24.1,,107,97
