Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,24,BOS,NBA,SG,16,16,672,122,303,.403,30,104,.288,92,199,.462,.452,120,157,.764,27,110,137,66,27,20,61,52,394
2002-03,25,BOS,NBA,SG,10,10,445,77,193,.399,16,45,.356,61,148,.412,.440,101,117,.863,11,79,90,67,21,8,44,38,271
2003-04,26,BOS,NBA,SG,4,4,162,26,76,.342,5,17,.294,21,59,.356,.375,26,31,.839,6,29,35,10,5,4,25,12,83
2004-05,27,BOS,NBA,SF,7,7,277,47,93,.505,7,27,.259,40,66,.606,.543,59,68,.868,7,47,54,32,13,10,19,18,160
2007-08,30,BOS,NBA,SF,26,26,990,163,370,.441,43,119,.361,120,251,.478,.499,142,177,.802,21,108,129,119,28,8,82,90,511
2008-09,31,BOS,NBA,SF,14,14,556,95,221,.430,19,57,.333,76,164,.463,.473,85,101,.842,4,77,81,43,15,5,33,44,294
2009-10,32,BOS,NBA,SF,24,24,930,147,336,.438,40,102,.392,107,234,.457,.497,117,142,.824,20,123,143,82,24,14,64,80,451
2010-11,33,BOS,NBA,SF,9,9,343,68,148,.459,21,47,.447,47,101,.465,.530,30,34,.882,5,40,45,25,12,4,24,30,187
2011-12,34,BOS,NBA,SF,20,20,778,120,311,.386,27,87,.310,93,224,.415,.429,110,123,.894,14,107,121,62,30,18,56,68,377
2012-13,35,BOS,NBA,SF,6,6,255,39,106,.368,11,41,.268,28,65,.431,.420,26,29,.897,4,30,34,32,5,3,32,21,115
2013-14,36,BRK,NBA,SF,12,12,368,60,129,.465,19,53,.358,41,76,.539,.539,25,32,.781,4,50,54,24,14,4,20,44,164
2014-15,37,WAS,NBA,SF,10,10,298,48,99,.485,33,63,.524,15,36,.417,.652,17,20,.850,0,42,42,9,6,7,10,33,146
2015-16,38,LAC,NBA,SF,5,1,54,2,12,.167,1,5,.200,1,7,.143,.208,1,4,.250,0,6,6,1,2,0,2,6,6
