Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,24,MIN,NBA,PF,4,165,,,,45%,55%,-11.9,-28.7,2,0,4,4,,1,0,39,15,2,3
2001-02,25,MIN,NBA,PF,3,130,,,,69%,31%,-5.9,46.6,2,2,8,4,,2,0,35,12,2,4
2002-03,26,MIN,NBA,PF,6,265,,,,96%,4%,-5.6,10.4,11,3,4,13,,2,0,68,11,2,3
2003-04,27,MIN,NBA,PF,18,783,,,,83%,17%,2.5,26.7,22,18,35,25,,16,0,219,52,11,12
2007-08,31,BOS,NBA,PF,26,987,,,,83%,17%,10.3,19.8,17,12,26,27,,14,0,194,42,6,18
2009-10,33,BOS,NBA,PF,23,766,,,,97%,3%,2.3,-2.4,13,6,12,34,,9,0,126,22,8,18
2010-11,34,BOS,NBA,PF,9,328,,,,86%,14%,6.8,22.2,11,1,7,14,0,4,0,55,12,0,5
2011-12,35,BOS,NBA,C,20,737,,,,16%,84%,9.6,35.6,15,8,21,28,0,15,0,68,40,12,8
2012-13,36,BOS,NBA,C,6,212,,,,,100%,-1.5,17.7,5,6,8,11,1,7,0,48,3,0,0
2013-14,37,BRK,NBA,C,12,250,,,,,100%,1.3,5.0,4,3,6,8,0,5,0,36,8,1,2
