Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19,DEN,NBA,SF,82,82,2995,7.5,17.6,.426,0.8,2.6,.322,6.7,15.0,.444,4.9,6.3,.777,2.2,3.8,6.0,2.7,1.2,0.5,3.0,2.7,20.7
2004-05,20,DEN,NBA,SF,75,75,2608,7.3,17.0,.431,0.6,2.2,.266,6.7,14.8,.455,6.3,7.9,.796,1.9,3.9,5.9,2.7,0.9,0.4,3.1,3.2,21.5
2005-06,21,DEN,NBA,SF,80,80,2941,9.3,19.2,.481,0.5,1.9,.243,8.8,17.4,.506,7.0,8.7,.808,1.5,3.3,4.8,2.6,1.1,0.5,2.7,2.8,26.0
2006-07,22,DEN,NBA,SF,65,65,2486,10.0,21.0,.476,0.6,2.2,.268,9.4,18.9,.499,6.6,8.2,.808,2.1,3.6,5.7,3.6,1.1,0.3,3.4,2.9,27.2
2007-08,23,DEN,NBA,SF,77,77,2806,9.3,19.0,.492,0.7,2.1,.354,8.6,16.9,.509,6.0,7.6,.786,2.3,5.0,7.3,3.3,1.3,0.5,3.2,3.2,25.4
2008-09,24,DEN,NBA,SF,66,66,2277,8.5,19.1,.443,1.0,2.7,.371,7.5,16.4,.455,5.9,7.4,.793,1.7,5.4,7.1,3.5,1.2,0.4,3.1,3.1,23.8
2009-10,25,DEN,NBA,SF,69,69,2634,9.4,20.5,.458,0.8,2.6,.316,8.6,18.0,.478,6.9,8.4,.830,2.1,4.1,6.2,3.0,1.2,0.4,2.9,3.1,26.6
2010-11,26,TOT,NBA,SF,77,77,2751,9.0,19.7,.455,1.2,3.3,.378,7.7,16.4,.470,6.6,7.9,.838,1.5,5.8,7.4,2.9,0.9,0.6,2.7,2.9,25.8
2010-11,26,DEN,NBA,SF,50,50,1774,8.9,19.6,.452,0.9,2.6,.333,8.0,17.1,.470,7.0,8.5,.823,1.6,6.2,7.8,2.8,0.9,0.6,2.9,2.7,25.5
2010-11,26,NYK,NBA,SF,27,27,977,9.1,19.8,.461,2.0,4.6,.424,7.1,15.1,.472,6.0,6.9,.872,1.5,5.2,6.7,3.0,0.9,0.6,2.4,3.3,26.2
2011-12,27,NYK,NBA,SF,55,55,1876,8.5,19.7,.430,1.3,3.9,.335,7.2,15.8,.454,5.7,7.0,.804,1.7,4.9,6.6,3.8,1.2,0.5,2.8,3.0,23.9
2012-13,28,NYK,NBA,PF,67,67,2482,9.7,21.6,.449,2.3,6.0,.379,7.4,15.6,.476,6.2,7.4,.830,1.9,4.7,6.7,2.5,0.8,0.5,2.5,3.0,27.8
2013-14,29,NYK,NBA,PF,77,77,2982,9.0,19.8,.452,2.0,5.0,.402,7.0,14.8,.469,5.5,6.5,.848,1.8,5.8,7.5,2.9,1.1,0.6,2.4,2.7,25.5
2014-15,30,NYK,NBA,SF,40,40,1428,9.0,20.3,.444,1.5,4.5,.341,7.5,15.8,.474,4.8,6.0,.797,1.8,4.8,6.7,3.1,1.0,0.4,2.2,2.2,24.4
2015-16,31,NYK,NBA,SF,72,72,2530,8.1,18.6,.434,1.5,4.4,.339,6.6,14.2,.463,4.8,5.7,.829,1.4,6.5,7.9,4.3,0.9,0.5,2.5,2.6,22.4
2016-17,32,NYK,NBA,SF,50,50,1683,8.9,20.4,.435,2.2,6.1,.360,6.7,14.3,.467,4.6,5.6,.831,0.9,5.6,6.5,3.1,0.9,0.4,2.1,2.8,24.6
