Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19,DEN,NBA,SF,4,4,143,5.3,16.1,.328,0.5,2.8,.182,4.8,13.3,.358,4.0,5.0,.800,1.8,6.5,8.3,2.8,1.3,0.0,4.3,2.8,15.1
2004-05,20,DEN,NBA,SF,5,5,180,7.0,16.6,.422,0.0,0.2,.000,7.0,16.4,.427,5.2,6.4,.813,2.8,2.6,5.4,2.0,0.6,0.2,2.6,4.0,19.2
2005-06,21,DEN,NBA,SF,5,5,193,6.2,18.5,.333,0.0,0.7,.000,6.2,17.7,.347,7.3,9.7,.750,2.2,3.9,6.2,2.6,0.7,0.2,2.8,3.7,19.6
2006-07,22,DEN,NBA,SF,5,5,210,8.1,16.8,.480,1.5,3.1,.500,6.5,13.7,.475,5.3,6.7,.795,3.1,4.3,7.4,1.0,0.9,0.0,3.3,2.1,23.0
2007-08,23,DEN,NBA,SF,4,4,146,7.9,21.7,.364,0.5,2.0,.250,7.4,19.7,.375,5.9,7.2,.828,4.7,4.7,9.4,2.0,0.5,0.2,3.0,4.2,22.2
2008-09,24,DEN,NBA,SF,16,16,612,8.6,18.9,.453,1.4,3.9,.364,7.2,15.1,.477,7.0,8.5,.826,1.5,3.9,5.5,3.8,1.6,0.6,2.2,3.5,25.6
2009-10,25,DEN,NBA,SF,6,6,254,9.1,19.6,.464,0.9,2.7,.316,8.2,16.9,.487,7.1,8.1,.877,2.0,5.2,7.2,2.8,1.7,0.4,3.0,3.7,26.1
2010-11,26,NYK,NBA,SF,4,4,156,7.6,20.3,.375,2.1,6.0,.346,5.5,14.3,.387,6.7,7.8,.853,3.0,6.5,9.5,4.4,1.2,0.7,3.0,3.7,24.0
2011-12,27,NYK,NBA,SF,5,5,204,9.2,21.9,.419,0.7,3.2,.222,8.5,18.7,.453,5.5,7.2,.756,2.3,4.9,7.2,1.9,1.1,0.2,2.5,3.7,24.5
2012-13,28,NYK,NBA,PF,12,12,481,9.4,23.2,.406,1.3,4.3,.298,8.2,18.9,.431,5.8,6.5,.885,0.8,5.1,5.9,1.4,1.0,0.1,2.3,3.4,25.9
