Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2002-03,25,SAS,NBA,SG,24,660,,98%,2%,,,15.9,22.9,21,8,7,24,,4,0,160,23,2,12
2003-04,26,SAS,NBA,SG,10,280,,79%,21%,,,11.0,18.3,13,5,3,10,,2,0,69,11,2,7
2004-05,27,SAS,NBA,SG,23,772,,67%,30%,3%,,10.3,19.9,45,14,7,27,,4,0,226,61,12,19
2005-06,28,SAS,NBA,SG,13,426,,38%,55%,7%,,10.5,24.9,17,11,5,16,,2,0,89,30,7,5
2006-07,29,SAS,NBA,SG,20,602,,80%,15%,6%,,6.0,5.0,25,11,6,30,,3,0,166,31,4,13
2007-08,30,SAS,NBA,SG,17,559,2%,87%,11%,,,1.0,5.2,27,10,10,15,,6,0,152,27,12,11
2009-10,32,SAS,NBA,SG,10,352,,61%,36%,3%,,-3.8,2.0,19,4,7,12,,5,0,129,15,4,10
2010-11,33,SAS,NBA,SG,5,174,,51%,48%,,,4.5,20.3,10,5,2,5,2,2,0,45,12,3,1
2011-12,34,SAS,NBA,SG,14,390,2%,92%,6%,,,3.0,-10.3,25,10,7,13,1,7,0,131,18,5,13
2012-13,35,SAS,NBA,SG,21,560,3%,68%,29%,,,7.7,0.7,36,12,7,18,1,5,0,248,25,4,8
2013-14,36,SAS,NBA,SG,23,586,3%,94%,3%,1%,,15.7,12.1,29,15,8,19,4,4,3,217,30,3,8
2014-15,37,SAS,NBA,SG,7,131,,73%,27%,,,-3.1,-7.7,9,4,1,3,0,1,4,79,7,2,4
2015-16,38,SAS,NBA,SG,10,192,4%,96%,,,,16.3,6.1,0,7,0,12,1,0,0,59,4,0,1
