Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2001-02,19,CHI,NBA,C,71,1389,.497,3.9,1.000,.664,.155,.095,.086,.000,.497,.574,.298,.345,.423,,.735,.247,70,,,,0,0
2002-03,20,CHI,NBA,C,75,1827,.531,4.3,1.000,.583,.215,.151,.052,.000,.531,.649,.423,.370,.120,,.685,.200,91,,,,0,0
2003-04,21,CHI,NBA,PF,35,782,.424,5.9,.994,.500,.253,.101,.139,.006,.427,.519,.300,.250,.455,.000,.567,.120,16,,.000,,1,0
2004-05,22,CHI,NBA,C,80,2189,.494,4.3,.995,.635,.184,.074,.103,.005,.496,.605,.286,.258,.372,.000,.507,.136,53,,.000,,0,0
2005-06,23,CHI,NBA,C,79,2121,.565,2.4,.996,.781,.113,.078,.025,.004,.567,.629,.406,.364,.000,.000,.506,.240,64,,.000,,0,0
2006-07,24,NOK,NBA,C,73,2525,.624,2.4,.998,.690,.250,.047,.011,.002,.625,.712,.470,.273,.200,.000,.469,.295,125,,.000,,0,0
2007-08,25,NOH,NBA,C,79,2783,.623,2.1,.998,.744,.225,.026,.003,.002,.624,.720,.331,.500,.000,.000,.610,.331,193,,.000,,1,0
2008-09,26,NOH,NBA,C,45,1445,.565,1.7,1.000,.802,.173,.021,.004,.000,.565,.634,.327,.000,.000,,.719,.336,89,,,,0,0
2009-10,27,CHA,NBA,C,51,1163,.574,1.9,1.000,.816,.116,.032,.037,.000,.574,.645,.318,.000,.286,,.606,.347,56,,,,0,0
2010-11,28,DAL,NBA,C,74,2059,.654,3.8,1.000,.727,.155,.025,.093,.000,.654,.730,.429,.700,.421,,.744,.337,129,,,,0,0
2011-12,29,NYK,NBA,C,62,2061,.679,2.3,.994,.820,.152,.014,.008,.006,.683,.753,.389,.200,.000,.000,.809,.403,134,,.500,.000,1,0
2012-13,30,NYK,NBA,C,66,2164,.638,2.2,1.000,.870,.088,.025,.018,.000,.638,.672,.400,.400,.429,,.741,.373,140,,,,0,0
2013-14,31,NYK,NBA,C,55,1662,.593,3.7,.997,.748,.124,.040,.084,.003,.595,.689,.225,.308,.444,.000,.770,.351,106,,.000,,0,0
2014-15,32,DAL,NBA,C,75,2286,.666,2.9,1.000,.805,.086,.030,.080,.000,.666,.746,.237,.462,.400,,.727,.432,179,,,,0,0
2015-16,33,PHO,NBA,C,66,1618,.583,2.8,.997,.768,.124,.038,.067,.003,.585,.685,.333,.167,.143,.000,.667,.373,103,,.000,,1,0
2016-17,34,PHO,NBA,C,40,1137,.686,1.4,1.000,.902,.088,.005,.005,.000,.686,.728,.333,.000,.000,,.600,.363,67,,,,0,0
