Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2003-04,23,NOH,NBA,PF,71,930,,,2%,96%,2%,-4.6,-5.5,17,15,16,67,,9,,135,41,11,29
2004-05,24,NOH,NBA,SF,30,552,,,30%,70%,,-20.9,-14.6,17,8,12,37,,10,,49,28,10,14
2005-06,25,NOK,NBA,PF,74,2526,,,,92%,8%,-3.7,-1.6,41,30,34,125,,20,,205,98,31,63
2006-07,26,NOK,NBA,PF,52,1900,,,,89%,11%,+0.5,+4.3,28,30,40,80,,11,,270,85,17,50
2007-08,27,NOH,NBA,PF,76,2870,,,,96%,4%,+7.8,+6.5,40,50,75,107,,39,,437,162,41,90
2008-09,28,NOH,NBA,PF,76,2982,,,,87%,13%,+4.0,+8.7,50,70,43,108,,27,,436,173,40,57
2009-10,29,NOH,NBA,PF,81,2949,,,,92%,8%,-3.4,-1.6,66,51,56,130,,29,,562,142,37,71
2010-11,30,NOH,NBA,PF,70,2451,,,,96%,4%,+2.6,+4.8,50,39,53,105,,26,,383,146,27,69
2011-12,31,IND,NBA,PF,66,1925,,,,100%,,+5.4,+5.4,31,30,32,66,,18,,326,75,17,41
2012-13,32,IND,NBA,PF,73,2435,,,,99%,,+8.3,+9.1,65,54,38,55,,24,3,502,127,34,70
2013-14,33,IND,NBA,PF,80,2472,,,,98%,2%,+8.1,+9.1,65,24,44,70,5,34,2,518,96,19,60
2014-15,34,IND,NBA,PF,66,1895,,,,95%,5%,-1.2,-2.4,61,23,36,75,2,24,4,510,46,11,25
2015-16,35,SAS,NBA,PF,78,1404,,,1%,50%,49%,+11.8,+0.4,30,14,23,74,0,13,5,326,40,16,27
2016-17,36,GSW,NBA,PF,42,484,,,,6%,94%,+11.1,-2.6,7,19,16,33,0,11,1,188,17,3,8
