Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Deron Williams,,11.3,10.9,10.3,8.4,7.3,7.2,5.4,4.1,3.7,3.6,2.8
Dick Van Arsdale,90.7,10.4,10.2,9.0,8.7,7.0,5.9,5.6,5.2,4.0,3.8,2.6
Stephon Marbury,90.1,11.7,9.6,9.1,7.8,7.4,7.1,5.9,5.3,5.3,3.9,3.7
Gus Williams,89.7,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8,0.1
Tim Hardaway,89.5,12.9,11.7,9.9,9.2,7.5,7.3,6.4,5.4,5.1,4.3,3.3
Derek Harper,88.6,9.9,9.4,9.1,8.0,7.6,6.2,5.4,4.0,3.5,2.7,1.3
Mitch Richmond,87.9,10.8,9.3,8.0,7.9,7.1,6.4,5.6,5.2,4.9,3.3,3.1
Sam Cassell,87.5,12.1,9.6,9.2,8.6,8.5,8.3,4.7,3.9,3.9,2.2,0.8
Louie Dampier,87.4,10.1,9.5,8.5,8.1,7.4,7.2,6.0,5.4,5.0,4.0,1.2
Joe Dumars,87.2,9.9,9.1,8.7,8.2,7.0,6.0,5.9,4.4,4.2,3.2,1.7
Walter Davis,86.9,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,3.8,2.7,0.6
