Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,26,DAL,NBA,PG,70,2387,93%,7%,,,,+7.0,+6.2,137,32,36,46,,16,,1132,49,9,51
2001-02,27,DAL,NBA,PG,82,2837,77%,23%,,,,+5.2,+2.1,163,45,21,62,,14,,1428,71,16,45
2002-03,28,DAL,NBA,PG,82,2711,99%,1%,,,,+9.6,+4.1,125,39,28,44,,15,,1353,100,27,64
2003-04,29,DAL,NBA,PG,78,2612,98%,2%,,,,+4.6,-0.7,145,40,24,53,,15,,1532,59,12,28
2004-05,30,PHO,NBA,PG,75,2573,95%,5%,,,,+12.7,+14.9,180,52,13,56,,6,,2006,50,14,31
2005-06,31,PHO,NBA,PG,79,2796,87%,13%,,,,+8.7,+9.1,186,66,24,42,,7,,1874,79,35,43
2006-07,32,PHO,NBA,PG,76,2682,97%,2%,,,,+11.5,+11.7,223,39,25,54,,11,,1965,59,16,40
2007-08,33,PHO,NBA,PG,81,2780,99%,1%,,,,+10.0,+14.5,222,54,19,50,,7,,1959,42,9,27
2008-09,34,PHO,NBA,PG,74,2484,100%,,,,,+4.6,+6.9,196,40,12,49,,4,,1583,44,9,24
2009-10,35,PHO,NBA,PG,81,2660,90%,10%,,,,+6.7,+3.9,237,50,8,64,,3,,2001,57,22,37
2010-11,36,PHO,NBA,PG,75,2497,99%,1%,,,,+4.7,+14.9,194,55,16,30,,4,,1948,38,13,18
2011-12,37,PHO,NBA,PG,62,1961,94%,6%,,,,+3.6,+10.6,178,39,12,17,,2,,1458,19,5,14
2012-13,38,LAL,NBA,PG,50,1627,85%,15%,,,,+1.0,-1.1,94,26,6,25,,2,6,747,21,3,12
2013-14,39,LAL,NBA,PG,15,313,28%,72%,,,,-9.9,-4.1,22,6,3,4,1,0,1,200,10,1,4
