Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2000-01,24,MIN,NBA,SG,3,0,26,2.1,12.6,.167,0.0,2.1,.000,2.1,10.5,.200,2.1,2.1,1.000,2.1,8.4,10.5,4.2,0.0,0.0,2.1,10.5,6.3,,62,105
2001-02,25,MIN,NBA,PG,3,3,134,8.5,18.9,.451,2.2,5.6,.400,6.3,13.3,.472,5.2,7.4,.700,0.4,5.2,5.6,6.3,1.1,0.4,3.3,5.2,24.5,,111,118
2002-03,26,DET,NBA,PG,14,14,485,8.1,21.7,.374,3.0,9.6,.310,5.1,12.1,.425,9.6,10.3,.933,0.5,4.9,5.4,7.6,1.0,0.2,3.9,4.3,28.8,,110,106
2003-04,27,DET,NBA,PG,23,23,881,7.0,18.1,.385,2.3,6.8,.346,4.6,11.3,.408,7.7,8.6,.890,0.9,3.5,4.4,8.6,2.0,0.1,3.8,3.6,23.9,,111,96
2004-05,28,DET,NBA,PG,25,25,985,8.3,19.4,.428,2.5,7.2,.349,5.8,12.2,.474,7.6,8.5,.893,1.3,4.9,6.2,9.3,1.4,0.3,2.8,4.1,26.7,,122,103
2005-06,29,DET,NBA,PG,18,18,705,7.5,18.4,.406,2.6,7.5,.340,4.9,10.8,.452,8.4,9.3,.905,0.6,4.3,4.9,9.4,1.8,0.2,3.4,3.4,25.9,,118,106
2006-07,30,DET,NBA,PG,16,16,649,7.2,16.6,.435,3.0,7.8,.389,4.2,8.9,.476,8.1,9.7,.832,0.6,4.0,4.6,7.8,1.6,0.2,4.0,3.4,25.6,,117,105
2007-08,31,DET,NBA,PG,15,15,480,8.1,20.3,.401,2.8,7.6,.375,5.3,12.8,.417,9.3,11.2,.832,0.7,4.5,5.2,9.8,1.4,0.1,2.4,3.8,28.5,,122,109
2008-09,32,DEN,NBA,PG,16,16,619,7.6,16.5,.457,3.7,7.9,.468,3.9,8.6,.447,8.9,9.8,.906,0.4,4.7,5.1,9.1,1.7,0.3,2.6,3.2,27.7,,135,110
2009-10,33,DEN,NBA,PG,6,6,207,8.9,20.1,.446,2.7,7.5,.355,6.3,12.6,.500,8.9,10.1,.881,0.2,3.1,3.4,9.2,1.4,0.7,4.3,5.8,29.5,,117,117
2010-11,34,NYK,NBA,PG,1,1,35,4.5,16.5,.273,3.0,9.0,.333,1.5,7.5,.200,3.0,3.0,1.000,0.0,3.0,3.0,6.0,0.0,0.0,4.5,3.0,15.0,,84,115
2012-13,36,LAC,NBA,SG,6,6,115,5.2,17.1,.306,2.8,8.1,.353,2.4,9.0,.263,4.3,5.2,.818,0.9,4.7,5.7,2.8,0.5,0.5,3.8,4.7,17.5,,87,117
