Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,21,POR,NBA,C,63,22,1392,6.2,12.4,.503,0.0,0.1,.000,6.2,12.3,.505,2.1,3.0,.722,3.7,4.3,8.1,0.6,0.6,1.9,1.1,4.8,14.6
2007-08,22,POR,NBA,PF,76,76,2649,7.6,15.8,.484,0.0,0.1,.143,7.6,15.7,.486,3.1,4.0,.762,3.0,4.9,7.9,1.7,0.7,1.3,1.7,3.3,18.3
2008-09,23,POR,NBA,PF,81,81,3004,7.2,14.9,.484,0.1,0.3,.250,7.1,14.6,.489,3.1,4.0,.781,2.8,4.4,7.3,1.9,0.9,0.9,1.5,2.5,17.6
2009-10,24,POR,NBA,PF,78,78,2922,7.1,14.4,.495,0.1,0.2,.313,7.1,14.2,.498,2.8,3.7,.757,2.4,5.4,7.7,2.0,0.8,0.6,1.3,2.8,17.2
2010-11,25,POR,NBA,PF,81,81,3211,7.9,15.9,.500,0.0,0.3,.174,7.9,15.6,.505,3.9,5.0,.791,3.1,4.8,7.9,1.9,0.9,1.1,1.7,2.5,19.8
2011-12,26,POR,NBA,PF,55,55,1994,8.7,17.0,.512,0.0,0.2,.182,8.7,16.8,.516,4.0,4.9,.814,2.7,5.3,8.0,2.4,0.9,0.8,2.0,2.8,21.5
2012-13,27,POR,NBA,PF,74,74,2790,8.2,17.0,.484,0.0,0.2,.143,8.2,16.8,.488,3.6,4.5,.810,2.3,6.4,8.6,2.5,0.8,1.2,1.8,2.4,20.1
2013-14,28,POR,NBA,PF,69,69,2498,9.4,20.5,.458,0.0,0.2,.200,9.4,20.3,.461,4.3,5.2,.822,2.4,8.6,11.0,2.6,0.9,1.0,1.8,2.1,23.1
2014-15,29,POR,NBA,PF,71,71,2512,9.4,20.3,.466,0.5,1.5,.352,8.9,18.8,.475,4.4,5.2,.845,2.5,7.9,10.4,1.8,0.7,1.0,1.7,1.8,23.8
2015-16,30,SAS,NBA,PF,74,74,2261,8.5,16.6,.513,0.0,0.3,.000,8.5,16.4,.521,4.1,4.8,.858,2.8,7.3,10.1,1.8,0.6,1.3,1.6,2.4,21.2
2016-17,31,SAS,NBA,PF,44,44,1419,7.7,15.7,.493,0.4,0.9,.457,7.3,14.8,.495,3.8,4.7,.812,2.5,5.6,8.0,2.5,0.7,1.2,1.5,2.6,19.7
