Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,23,MIL,NBA,SG,3,3,120,25,47,.532,9,19,.474,16,28,.571,.628,8,13,.615,8,14,22,13,3,1,11,9,67
1999-00,24,MIL,NBA,SG,5,5,186,40,90,.444,10,26,.385,30,64,.469,.500,20,22,.909,10,23,33,13,8,0,9,10,110
2000-01,25,MIL,NBA,SG,18,18,768,158,331,.477,57,119,.479,101,212,.476,.563,79,86,.919,19,55,74,108,24,10,43,44,452
2004-05,29,SEA,NBA,SG,11,11,436,102,215,.474,31,82,.378,71,133,.534,.547,56,63,.889,12,35,47,43,14,4,34,22,291
2007-08,32,BOS,NBA,SG,26,26,987,133,311,.428,55,139,.396,78,172,.453,.516,84,92,.913,25,73,98,71,24,8,38,63,405
2008-09,33,BOS,NBA,SG,14,14,565,83,206,.403,35,100,.350,48,106,.453,.488,55,58,.948,13,42,55,37,15,5,25,35,256
2009-10,34,BOS,NBA,SG,24,24,925,131,304,.431,56,145,.386,75,159,.472,.523,69,80,.863,12,68,80,63,22,3,36,74,387
2010-11,35,BOS,NBA,SG,9,9,361,57,109,.523,32,56,.571,25,53,.472,.670,24,25,.960,5,29,34,22,11,1,10,21,170
2011-12,36,BOS,NBA,SG,18,10,616,66,167,.395,28,92,.304,38,75,.507,.479,32,45,.711,8,66,74,18,17,2,17,41,192
2012-13,37,MIA,NBA,SG,23,0,573,74,172,.430,39,96,.406,35,76,.461,.544,47,54,.870,13,51,64,29,12,3,27,42,234
2013-14,38,MIA,NBA,SG,20,1,527,59,143,.413,33,85,.388,26,58,.448,.528,34,37,.919,13,54,67,32,14,4,24,41,185
