Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2002-03,20,PHO,NBA,PF,6,6,203,8.8,16.8,.523,0.3,0.3,1.000,8.5,16.5,.516,4.1,7.2,.571,4.1,8.0,12.2,1.8,2.6,2.3,4.9,7.2,22.0,,96,94
2004-05,22,PHO,NBA,C,15,15,601,13.0,24.1,.539,0.0,0.3,.000,13.0,23.9,.544,12.1,15.5,.781,5.1,8.5,13.6,1.5,0.8,2.5,4.0,5.0,38.1,,122,112
2006-07,24,PHO,NBA,C,10,10,343,13.5,25.9,.523,0.1,0.4,.333,13.4,25.4,.526,10.4,13.5,.769,4.5,13.5,18.0,0.9,1.9,2.8,2.8,5.8,37.6,,117,98
2007-08,25,PHO,NBA,C,5,5,204,12.2,25.2,.485,0.3,1.0,.250,11.9,24.1,.495,4.8,7.6,.633,3.8,7.6,11.4,0.5,1.8,3.0,3.6,4.8,29.5,,99,103
2009-10,27,PHO,NBA,PF,16,16,584,11.2,21.6,.519,0.0,0.4,.000,11.2,21.2,.528,9.7,12.8,.754,4.2,5.4,9.6,1.6,1.0,2.2,3.6,4.9,32.1,,116,113
2010-11,28,NYK,NBA,C,4,4,134,8.2,21.5,.382,0.0,0.0,,8.2,21.5,.382,6.3,9.4,.667,4.3,7.8,12.1,2.7,0.4,1.2,4.7,3.9,22.7,,89,110
2011-12,29,NYK,NBA,PF,4,4,139,7.9,14.3,.556,0.0,0.0,,7.9,14.3,.556,8.3,11.1,.750,3.2,7.1,10.3,1.2,2.0,0.4,4.8,6.4,24.2,,110,110
2012-13,30,NYK,NBA,PF,4,0,33,8.4,21.8,.385,1.7,1.7,1.000,6.7,20.1,.333,6.7,6.7,1.000,6.7,8.4,15.1,0.0,0.0,0.0,5.0,15.1,25.2,,97,102
2014-15,32,DAL,NBA,PF,5,0,75,9.4,22.0,.429,0.0,0.0,,9.4,22.0,.429,5.7,8.2,.692,4.4,5.7,10.0,1.9,0.6,1.9,4.4,10.0,24.5,,94,112
2015-16,33,MIA,NBA,C,9,2,82,7.1,12.3,.579,0.0,0.0,,7.1,12.3,.579,5.2,5.2,1.000,1.9,6.5,8.4,0.0,3.2,1.9,5.8,9.1,19.5,,97,97
