Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,21,UTA,NBA,PF,82,1,1472,5.1,9.7,.525,0.0,0.1,.333,5.1,9.7,.527,3.4,5.1,.673,4.5,5.9,10.3,1.5,1.6,1.8,2.3,5.8,13.7
2007-08,22,UTA,NBA,PF,82,2,1702,5.4,10.6,.504,0.0,0.1,.000,5.4,10.5,.508,3.3,4.8,.677,3.5,6.2,9.7,1.7,1.5,1.5,1.8,5.7,14.0
2008-09,23,UTA,NBA,PF,76,38,2290,6.3,11.8,.534,0.0,0.1,.000,6.3,11.7,.537,3.6,5.1,.699,3.9,6.3,10.3,2.2,1.2,1.1,2.0,4.5,16.2
2009-10,24,UTA,NBA,PF,82,8,2277,6.1,11.3,.538,0.0,0.1,.111,6.1,11.2,.543,2.9,4.2,.693,2.9,5.9,8.8,2.1,1.0,1.6,1.8,4.5,15.1
2010-11,25,UTA,NBA,PF,76,76,2605,7.3,13.7,.531,0.1,0.3,.391,7.1,13.3,.535,3.5,4.7,.757,2.3,5.7,8.0,2.6,1.4,1.0,2.0,3.8,18.2
2011-12,26,UTA,NBA,PF,64,62,2100,7.3,14.8,.495,0.1,0.5,.226,7.2,14.2,.505,3.5,4.4,.792,3.1,6.6,9.7,2.6,2.0,0.9,1.9,3.8,18.2
2012-13,27,UTA,NBA,PF,78,78,2375,6.5,13.3,.490,0.2,0.6,.333,6.3,12.7,.498,4.0,5.4,.742,2.7,5.7,8.4,3.0,1.5,1.2,2.1,3.5,17.2
2013-14,28,ATL,NBA,PF,74,73,2482,7.0,15.2,.461,1.1,3.1,.358,5.9,12.1,.487,4.1,5.7,.731,2.2,6.9,9.1,3.4,1.9,1.1,2.7,3.0,19.3
2014-15,29,ATL,NBA,PF,73,73,2390,6.7,14.0,.476,1.2,3.3,.356,5.5,10.8,.513,3.8,5.1,.757,2.1,6.5,8.6,3.4,2.0,1.0,2.5,3.0,18.3
2015-16,30,ATL,NBA,PF,81,81,2647,6.8,14.5,.470,1.0,3.2,.319,5.8,11.3,.512,4.2,5.5,.757,2.7,7.3,10.0,3.6,2.0,1.9,2.6,3.2,18.8
2016-17,31,ATL,NBA,PF,47,47,1599,6.7,15.2,.440,1.3,3.9,.326,5.4,11.4,.479,4.2,5.6,.753,1.8,6.8,8.6,4.0,1.6,1.1,2.4,2.8,18.9
