Player,Sim,1,2,3,4,5,6,7,8,9,10
Paul Millsap,,10.1,8.3,7.8,7.7,7.7,7.6,7.2,6.7,5.2,4.7
Jamaal Wilkes,94.9,10.0,8.5,8.3,7.7,7.4,7.3,6.9,6.0,5.1,3.3
Terry Cummings,94.1,10.7,8.8,8.7,8.7,7.7,7.5,7.4,6.5,5.6,5.2
Carmelo Anthony,93.5,9.5,9.4,8.2,7.9,7.9,7.3,6.2,6.1,5.0,4.9
P.J. Brown,92.5,10.2,8.2,8.0,7.5,7.5,6.9,5.3,5.1,4.6,4.2
Bob Dandridge,91.7,9.5,9.1,9.0,8.7,8.4,8.1,7.0,6.8,6.0,5.4
A.C. Green,91.5,9.4,9.3,8.8,8.6,7.9,7.7,7.6,6.7,6.1,3.3
Buck Williams,91.2,11.4,8.9,8.7,8.5,7.9,7.7,7.6,7.3,6.8,5.2
Sam Perkins,91.0,8.1,8.0,7.5,7.4,7.3,7.0,6.9,6.7,6.4,5.8
Jack Twyman,91.0,9.6,9.3,8.8,8.6,8.3,7.3,7.3,5.9,4.3,3.9
Shareef Abdur-Rahim,90.1,9.7,8.8,8.5,8.1,7.2,6.9,6.2,5.4,4.6,2.9
