Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2004-05,19,CHI,NBA,SF,61,45,1663,8.7,20.1,.434,1.0,3.7,.265,7.8,16.5,.472,3.7,5.1,.741,2.9,7.2,10.1,4.2,1.5,0.8,3.7,3.1,22.2,,98,100
2005-06,20,CHI,NBA,SF,78,56,2604,8.8,18.9,.463,0.4,1.5,.269,8.3,17.4,.481,4.1,5.5,.750,2.5,7.7,10.2,2.9,1.4,1.0,2.1,2.5,22.1,,106,103
2006-07,21,CHI,NBA,SF,82,82,3071,10.5,20.3,.517,0.0,0.1,.143,10.5,20.2,.519,4.7,6.0,.777,2.5,7.2,9.7,3.4,1.6,0.8,2.6,2.8,25.7,,112,100
2007-08,22,CHI,NBA,SF,63,59,2128,10.4,21.7,.479,0.2,0.5,.364,10.2,21.2,.482,4.9,6.4,.770,3.3,6.3,9.6,3.8,1.4,0.7,2.9,2.8,25.9,,107,109
2008-09,23,CHI,NBA,SF,49,46,1665,8.2,18.3,.448,0.2,0.6,.400,8.0,17.7,.450,4.7,5.9,.796,2.5,6.7,9.1,2.9,1.9,0.8,2.2,2.6,21.4,,106,109
2009-10,24,CHI,NBA,SF,70,69,2651,9.2,19.7,.466,0.6,1.6,.386,8.6,18.1,.474,4.9,6.4,.764,2.5,7.4,10.0,2.8,1.3,1.2,2.6,2.5,23.9,,106,106
2010-11,25,CHI,NBA,SF,82,82,3208,8.8,19.1,.460,1.9,5.5,.345,6.9,13.6,.506,4.2,5.6,.753,1.9,6.0,7.9,3.8,1.3,0.8,2.6,2.7,23.7,,111,102
2011-12,26,CHI,NBA,SF,54,54,2129,7.9,19.1,.412,2.0,5.4,.367,5.9,13.7,.430,3.2,4.2,.770,1.9,6.9,8.9,4.0,1.4,0.9,2.4,2.0,20.9,,105,100
2012-13,27,CHI,NBA,SF,75,75,2903,8.6,20.2,.426,1.4,4.3,.322,7.2,15.9,.455,4.3,5.2,.816,3.0,5.8,8.8,4.1,1.5,0.6,2.7,1.9,22.9,,105,105
2013-14,28,TOT,NBA,SF,63,63,2213,8.7,20.3,.431,1.3,4.5,.302,7.4,15.8,.468,5.0,6.3,.791,2.3,6.2,8.5,4.3,1.5,0.2,2.7,2.6,23.8,,106,107
2013-14,28,CHI,NBA,SF,23,23,860,9.9,21.9,.452,1.1,3.8,.274,8.8,18.1,.490,6.2,7.7,.815,2.5,7.3,9.8,5.3,1.5,0.2,3.7,3.3,27.1,,106,102
2013-14,28,CLE,NBA,SF,40,40,1353,8.0,19.3,.417,1.5,4.8,.315,6.5,14.4,.451,4.2,5.5,.771,2.2,5.5,7.7,3.7,1.4,0.2,2.1,2.2,21.8,,106,110
2014-15,29,MIA,NBA,SF,72,72,2421,8.0,17.2,.469,1.7,4.8,.355,6.3,12.4,.513,4.2,5.5,.761,2.2,6.0,8.2,3.0,1.4,0.5,2.4,2.4,22.0,,110,109
2015-16,30,MIA,NBA,PF,74,73,2394,7.3,16.0,.455,1.9,5.5,.344,5.4,10.5,.513,3.1,4.1,.755,2.3,7.2,9.5,3.0,1.6,0.6,1.7,2.6,19.5,,112,105
2016-17,31,LAL,NBA,SF,49,49,1337,5.6,14.3,.396,1.8,5.5,.329,3.8,8.8,.438,1.4,2.1,.696,2.2,7.8,10.0,2.6,1.6,0.7,1.5,1.9,14.5,,102,112
