Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Luol Deng,,11.3,9.9,6.5,6.4,6.3,5.9,5.8,5.4,4.5,4.4,3.0,3.0,,,,
Andrei Kirilenko,90.2,11.6,9.2,7.9,7.3,7.1,6.0,6.0,5.5,4.6,4.5,4.4,1.3,0.0,,,
Tom Chambers,89.7,11.2,9.2,7.4,6.4,6.1,5.9,5.4,4.8,4.5,4.4,4.3,3.9,3.3,2.5,0.1,-0.4
Zach Randolph,88.7,10.5,9.7,7.9,7.2,7.1,6.4,5.7,4.8,4.3,3.1,3.0,3.0,2.1,1.3,0.5,
Derrick Coleman,88.5,9.9,9.5,6.5,5.9,5.8,5.6,5.1,4.5,4.4,3.3,2.0,1.2,0.8,-0.1,-0.2,
Christian Laettner,87.7,11.6,7.5,6.6,6.2,6.2,5.1,5.0,4.3,4.1,2.7,2.6,2.3,0.7,,,
Bernard King,87.1,12.1,9.1,8.7,7.5,7.1,6.5,5.9,5.5,4.9,3.5,2.8,1.2,0.4,0.0,,
Antonio McDyess,86.7,9.4,7.8,6.7,6.2,6.0,5.7,5.6,4.6,4.2,3.6,3.2,3.0,1.8,1.2,0.8,
Hot Rod Williams,86.6,9.2,8.7,7.7,7.5,7.4,5.7,5.3,5.3,4.5,3.7,2.8,2.4,0.4,,,
Shane Battier,85.3,9.1,9.0,8.2,7.8,6.2,5.9,5.2,5.1,4.8,4.4,4.3,3.3,2.4,,,
Paul Silas,83.8,11.5,11.0,7.7,7.2,7.2,6.9,6.7,3.9,3.3,3.3,3.1,2.5,2.2,1.8,1.2,0.5
