Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2002-03,21,CLE,NBA,PF,81,2049,,,1%,88%,11%,-12.2,-3.7,39,32,31,117,,20,,224,88,16,59
2003-04,22,CLE,NBA,PF,75,2592,,,,96%,4%,+0.3,+9.8,51,38,45,99,,25,,317,125,35,67
2004-05,23,UTA,NBA,PF,51,1772,,,,89%,11%,-3.2,+3.5,54,42,41,81,,30,,309,123,26,67
2005-06,24,UTA,NBA,PF,33,1025,,,,89%,11%,-3.4,-0.2,28,16,25,50,,17,,187,64,14,26
2006-07,25,UTA,NBA,PF,74,2557,,,,89%,11%,+3.1,-0.5,60,66,68,98,,36,,468,183,64,112
2007-08,26,UTA,NBA,PF,81,2827,,,,74%,26%,+7.5,+0.1,71,64,75,146,,49,,489,202,60,112
2008-09,27,UTA,NBA,PF,37,1197,,,,59%,41%,-1.8,-6.6,24,31,24,66,,14,,173,60,10,58
2009-10,28,UTA,NBA,PF,78,2673,,,,55%,45%,+4.8,-2.5,79,66,67,133,,39,,535,201,66,111
2010-11,29,CHI,NBA,C,59,1882,,,,45%,55%,+7.2,-1.9,39,38,72,81,,44,,336,122,41,109
2011-12,30,CHI,NBA,PF,66,1948,,,,90%,10%,+6.2,-8.7,47,30,38,103,,21,,283,72,18,55
2012-13,31,CHI,NBA,PF,79,2546,,,,69%,31%,-2.4,-8.4,62,53,61,127,,39,2,396,132,42,101
2013-14,32,CHI,NBA,PF,76,2141,,,,73%,27%,-1.6,-8.1,51,47,56,100,1,35,2,272,92,17,96
2014-15,33,LAL,NBA,PF,71,1692,,,23%,76%,1%,-9.0,-3.3,27,31,35,80,0,18,3,210,72,20,64
