Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2004-05,21,SAC,NBA,PG,45,455,25%,32%,42%,,,+3.0,+0.6,7,8,9,14,,5,,49,20,2,9
2005-06,22,SAC,NBA,SG,72,1913,5%,80%,15%,,,+0.9,-1.6,35,27,19,43,,8,,220,87,18,36
2006-07,23,SAC,NBA,SG,80,2818,12%,85%,3%,,,-3.3,-4.9,44,39,52,71,,16,,406,225,41,52
2007-08,24,SAC,NBA,SG,61,2216,17%,79%,3%,,,-0.7,+3.7,42,41,48,61,,26,,297,221,34,51
2008-09,25,SAC,NBA,SG,51,1947,5%,80%,16%,,,-8.1,+2.6,62,35,49,44,,16,,325,213,33,37
2009-10,26,TOT,NBA,SG,46,1633,28%,70%,1%,,,-4.8,-2.8,35,30,27,0,,0,,265,0,30,38
2009-10,26,SAC,NBA,SG,22,774,60%,40%,1%,,,-11.6,-8.7,16,12,7,24,,0,,131,69,16,17
2009-10,26,HOU,NBA,SG,24,859,,98%,2%,,,+1.2,+2.2,19,18,20,18,,5,,134,78,14,21
2010-11,27,HOU,NBA,SG,80,2603,,80%,19%,,,+2.9,+2.2,63,57,64,56,,19,,446,251,49,63
2011-12,28,HOU,NBA,SG,40,1264,,76%,24%,1%,,-0.8,-1.9,24,18,28,30,,6,,254,64,9,21
2012-13,29,OKC,NBA,SG,77,2136,,49%,50%,1%,,+10.4,+1.4,30,30,41,66,,10,5,238,98,18,40
2013-14,30,MIN,NBA,SG,68,2177,,98%,2%,,,+3.2,+1.6,38,36,32,52,4,10,9,289,123,23,53
2014-15,31,MIN,NBA,SG,39,1302,,92%,8%,,,-10.4,-1.3,28,22,26,32,4,10,2,190,68,15,24
2015-16,32,TOT,NBA,SG,55,1095,,81%,18%,,,-5.1,-2.3,10,27,17,0,0,0,0,133,0,9,21
2015-16,32,MIN,NBA,SG,39,834,,95%,5%,,,-5.1,-2.3,10,18,13,17,3,6,4,104,57,5,15
2015-16,32,SAS,NBA,SG,16,261,,36%,62%,2%,,-6.8,-19.6,0,9,1,3,1,1,1,29,11,4,6
