Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,27,DAL,NBA,PG,13,13,38.5,6.2,12.3,.506,2.1,4.2,.491,4.2,8.1,.514,.591,2.9,3.3,.884,0.7,3.5,4.2,4.6,1.3,0.5,2.3,2.2,17.5
2005-06,28,DAL,NBA,PG,22,22,38.4,7.4,16.8,.442,1.4,4.6,.307,6.0,12.2,.493,.484,2.7,3.2,.831,0.5,2.4,2.9,3.8,1.2,0.0,2.0,2.5,18.9
2006-07,29,DAL,NBA,SG,6,6,38.2,6.5,15.3,.424,1.5,5.3,.281,5.0,10.0,.500,.473,2.5,3.0,.833,0.5,1.8,2.3,3.7,0.8,0.3,2.8,2.0,17.0
2007-08,30,DAL,NBA,SG,5,3,36.0,5.2,12.0,.433,2.8,6.4,.438,2.4,5.6,.429,.550,2.6,3.0,.867,0.2,1.4,1.6,4.8,0.4,0.2,1.0,3.0,15.8
2008-09,31,DAL,NBA,SG,10,1,32.5,4.9,12.6,.389,2.2,5.9,.373,2.7,6.7,.403,.476,2.3,3.0,.767,0.6,2.2,2.8,1.9,0.6,0.3,1.6,1.8,14.3
2009-10,32,DAL,NBA,SG,6,0,29.0,4.3,11.5,.377,2.0,5.0,.400,2.3,6.5,.359,.464,2.0,2.7,.750,0.3,2.2,2.5,2.0,0.7,0.2,1.0,2.7,12.7
2010-11,33,DAL,NBA,SG,21,0,32.6,6.1,12.8,.478,2.0,4.5,.442,4.1,8.2,.497,.556,3.3,4.0,.843,0.3,1.6,1.9,3.2,1.2,0.1,1.5,2.1,17.5
2011-12,34,DAL,NBA,SG,4,1,34.8,5.0,11.0,.455,2.5,5.0,.500,2.5,6.0,.417,.568,1.3,2.0,.625,0.3,2.0,2.3,3.8,0.3,0.0,2.0,2.8,13.8
2012-13,35,BOS,NBA,SG,6,1,31.5,4.0,9.0,.444,2.5,5.7,.441,1.5,3.3,.450,.583,1.5,1.8,.818,0.0,2.2,2.2,2.0,0.7,0.3,0.8,1.5,12.0
2014-15,37,HOU,NBA,SG,17,17,28.6,3.4,7.9,.425,1.7,4.8,.354,1.6,3.1,.538,.534,0.8,0.9,.813,0.4,1.9,2.2,2.8,0.9,0.1,1.2,2.7,9.2
2015-16,38,HOU,NBA,SG,5,0,24.8,2.6,7.6,.342,1.2,3.8,.316,1.4,3.8,.368,.421,0.6,0.6,1.000,0.2,2.0,2.2,1.2,0.4,0.2,0.6,2.6,7.0
