Player,Sim,1,2,3,4,5,6,7,8
Marc Gasol,,11.5,10.2,8.4,8.2,7.9,6.4,5.6,3.7
Mel Daniels,91.0,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2
Joakim Noah,89.9,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8
Dikembe Mutombo,89.3,11.3,10.8,9.4,8.8,8.7,7.9,7.6,4.8
Bill Laimbeer,88.9,10.8,10.5,9.8,9.2,8.8,8.5,5.4,4.7
Clyde Lovellette,88.8,10.1,9.0,8.5,8.5,8.2,8.1,6.5,5.2
Brad Daugherty,88.8,12.7,11.7,9.6,9.0,6.6,6.4,6.0,3.1
Swen Nater,88.1,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1
Alonzo Mourning,87.4,12.9,9.9,9.4,8.4,8.2,7.9,7.5,6.3
Billy Paultz,87.0,9.0,8.9,8.7,8.6,7.0,5.6,5.3,5.0
Robert Parish,86.5,10.9,10.8,10.5,10.0,7.1,4.8,4.6,4.0
