Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Career,,,NBA,,1304,40268,17.4,.532,.068,.380,4.0,9.9,6.9,34.7,2.0,0.4,16.9,20.6,,69.5,31.2,100.8,.120,,1.7,-0.6,1.1,31.7
7 seasons,,DEN,NBA,,447,13979,16.5,.535,.073,.381,3.9,9.9,6.9,33.1,2.0,0.4,18.6,19.4,,21.6,11.8,33.3,.114,,1.1,-0.4,0.7,9.6
3 seasons,,CLE,NBA,,245,7964,20.2,.534,.071,.425,4.2,10.6,7.4,43.6,2.2,0.7,16.9,22.6,,18.4,5.3,23.7,.143,,3.5,-0.9,2.6,9.3
3 seasons,,PHI,NBA,,221,8136,17.9,.536,.037,.329,4.2,9.6,6.9,31.5,1.9,0.3,14.5,21.4,,14.2,6.7,20.9,.124,,2.1,-0.3,1.8,7.9
2 seasons,,POR,NBA,,163,5150,18.0,.530,.067,.390,4.1,9.6,6.8,33.1,2.2,0.3,15.3,22.2,,9.2,4.8,14.0,.130,,1.6,-0.3,1.4,4.4
1 season,,LAC,NBA,,80,2913,15.2,.495,.116,.421,3.3,9.0,6.1,31.3,1.8,0.3,15.8,20.3,,3.6,1.0,4.6,.076,,0.9,-1.4,-0.5,1.1
2 seasons,,WAS,NBA,,79,1043,14.4,.559,.048,.301,3.6,11.0,7.3,34.0,1.6,0.3,22.2,14.5,,1.7,1.1,2.8,.127,,-1.3,-1.0,-2.4,-0.1
1 season,,SAC,NBA,,30,622,12.3,.522,.176,.257,3.0,10.6,6.9,34.9,1.5,0.5,26.0,15.8,,0.3,0.2,0.6,.043,,-1.4,-2.0,-3.4,-0.2
1 season,,MIN,NBA,,26,280,13.7,.663,.069,.328,2.5,7.4,5.0,31.9,1.6,0.0,27.4,14.6,,0.5,0.1,0.5,.088,,-0.8,-3.7,-4.5,-0.2
1 season,,SAS,NBA,,13,181,12.9,.521,.083,.271,3.9,12.8,8.5,22.6,2.0,0.0,18.3,16.6,,0.1,0.3,0.4,.118,,-1.5,1.0,-0.5,0.1
