Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2007-08,21,ATL,NBA,C,81,77,2540,6.9,13.9,.499,0.0,0.1,.000,6.9,13.8,.502,3.2,4.4,.731,5.1,11.1,16.3,2.6,1.2,1.6,2.8,5.5,17.0,,108,106
2008-09,22,ATL,NBA,C,67,67,2242,7.5,14.2,.525,0.0,0.0,.000,7.5,14.2,.526,3.6,4.9,.727,3.5,11.4,14.9,3.9,1.3,2.3,2.5,4.5,18.5,,114,104
2009-10,23,ATL,NBA,C,81,81,2845,8.7,15.9,.551,0.0,0.0,1.000,8.7,15.8,.551,4.0,5.1,.789,4.4,10.5,15.0,3.5,1.1,1.7,2.3,4.2,21.5,,121,105
2010-11,24,ATL,NBA,C,77,77,2704,10.2,18.3,.557,0.0,0.1,.500,10.2,18.2,.557,3.0,3.7,.798,3.6,10.7,14.3,5.3,1.2,1.6,2.4,3.8,23.4,,118,105
2011-12,25,ATL,NBA,C,11,11,348,8.7,15.7,.553,0.0,0.2,.000,8.7,15.6,.559,3.4,4.6,.733,4.0,7.8,11.8,3.7,1.5,2.1,2.4,3.2,20.8,,116,100
2012-13,26,ATL,NBA,C,74,74,2756,10.8,19.9,.543,0.1,0.1,.500,10.8,19.8,.544,2.5,3.9,.644,3.7,10.6,14.2,4.5,1.5,1.5,2.8,3.1,24.2,,110,102
2013-14,27,ATL,NBA,C,29,29,958,12.6,22.2,.567,0.2,0.6,.364,12.4,21.7,.572,3.1,4.5,.682,3.5,9.4,12.9,4.0,1.4,2.3,3.4,3.0,28.5,,109,104
2014-15,28,ATL,NBA,C,76,76,2318,11.4,21.3,.538,0.2,0.8,.306,11.2,20.5,.547,2.4,3.1,.759,2.9,9.1,12.0,5.4,1.5,2.2,2.2,2.7,25.5,,114,102
2015-16,29,ATL,NBA,C,82,82,2631,9.9,19.7,.505,1.7,4.8,.344,8.3,14.9,.557,1.9,2.4,.798,2.8,8.4,11.2,4.9,1.3,2.3,2.0,3.1,23.5,,113,101
2016-17,30,BOS,NBA,C,38,38,1259,9.0,19.7,.460,2.3,6.6,.341,6.8,13.0,.520,2.5,3.1,.808,2.2,7.7,9.9,7.9,1.1,2.5,2.4,3.3,22.8,,114,108
