Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,24,TOR,NBA,SG,64,11,1487,3.2,7.6,.423,0.2,1.0,.163,3.0,6.5,.465,1.9,2.2,.848,0.7,2.7,3.4,7.0,1.0,0.1,2.4,2.3,8.4
2006-07,25,TOR,NBA,PG,77,11,1614,5.9,11.3,.521,0.6,1.7,.333,5.3,9.6,.553,2.6,3.2,.818,0.5,2.5,3.0,8.6,1.4,0.1,2.5,3.0,14.9
2007-08,26,TOR,NBA,PG,82,56,2484,5.3,10.2,.519,1.1,2.7,.429,4.2,7.6,.551,1.6,1.7,.908,0.5,2.9,3.4,9.8,1.3,0.1,1.8,1.9,13.4
2008-09,27,TOR,NBA,PG,68,68,2333,4.9,9.9,.497,1.3,3.1,.406,3.7,6.8,.538,2.3,2.4,.981,0.2,2.7,3.0,9.4,1.1,0.1,2.2,1.8,13.5
2009-10,28,TOR,NBA,PG,68,39,1817,5.4,11.3,.482,1.3,3.4,.398,4.1,7.9,.519,1.6,2.1,.798,0.5,2.4,2.8,8.0,0.9,0.1,2.0,2.7,13.8
2010-11,29,TOR,NBA,PG,68,55,2102,4.5,10.2,.440,1.0,2.7,.365,3.5,7.5,.466,1.5,1.8,.854,0.5,2.9,3.5,10.4,1.4,0.1,2.5,2.4,11.5
2011-12,30,TOR,NBA,PG,53,53,1799,4.4,9.5,.457,1.2,3.2,.371,3.2,6.4,.500,1.2,1.4,.882,0.4,2.8,3.2,9.4,0.9,0.1,2.1,1.9,11.1
2012-13,31,TOT,NBA,PG,73,58,2160,5.2,10.6,.491,2.2,4.7,.461,3.0,5.9,.516,1.2,1.3,.900,0.3,2.6,2.9,8.6,1.0,0.1,2.1,1.6,13.8
2012-13,31,TOR,NBA,PG,45,30,1273,5.3,11.3,.470,2.2,5.2,.429,3.1,6.1,.505,1.3,1.5,.904,0.4,2.6,3.0,9.4,0.8,0.2,2.1,1.6,14.1
2012-13,31,DET,NBA,PG,28,28,887,5.1,9.6,.527,2.1,4.0,.520,3.0,5.6,.532,1.0,1.1,.893,0.2,2.6,2.8,7.5,1.2,0.1,2.1,1.7,13.2
2013-14,32,DAL,NBA,PG,81,81,2468,5.0,10.9,.456,2.8,6.2,.449,2.2,4.7,.464,0.8,0.9,.825,0.4,2.4,2.8,5.5,1.0,0.2,1.5,2.0,13.5
2014-15,33,NYK,NBA,PG,42,42,1270,4.2,10.0,.415,1.7,4.0,.415,2.5,6.0,.415,0.8,0.9,.906,0.5,3.0,3.5,5.6,0.9,0.0,2.1,2.2,10.8
2015-16,34,NYK,NBA,PG,72,72,2024,3.7,8.1,.459,1.5,3.6,.414,2.2,4.5,.496,0.7,0.9,.875,0.4,3.7,4.1,5.3,1.1,0.1,1.5,2.4,9.7
2016-17,35,LAL,NBA,PG,23,11,286,4.0,9.7,.416,1.5,4.3,.353,2.5,5.4,.465,0.5,0.5,1.000,1.0,4.0,5.0,6.2,0.8,0.1,3.3,2.8,10.1
