Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2005-06,24,TOR,NBA,SG,64,11,1487,4.7,11.1,.423,0.2,1.5,.163,4.4,9.5,.465,2.8,3.3,.848,1.1,3.9,5.0,10.2,1.5,0.1,3.6,3.3,12.4,,104,115
2006-07,25,TOR,NBA,PG,77,11,1614,8.4,16.2,.521,0.8,2.4,.333,7.6,13.8,.553,3.8,4.6,.818,0.7,3.6,4.3,12.4,2.0,0.2,3.5,4.4,21.5,,117,108
2007-08,26,TOR,NBA,PG,82,56,2484,7.9,15.1,.519,1.7,3.9,.429,6.2,11.2,.551,2.3,2.6,.908,0.7,4.3,5.1,14.5,1.9,0.1,2.7,2.9,19.7,,127,109
2008-09,27,TOR,NBA,PG,68,68,2333,7.2,14.4,.497,1.8,4.5,.406,5.3,9.9,.538,3.4,3.4,.981,0.4,4.0,4.3,13.6,1.7,0.2,3.2,2.5,19.5,,123,112
2009-10,28,TOR,NBA,PG,68,39,1817,7.8,16.1,.482,1.9,4.9,.398,5.8,11.3,.519,2.4,3.0,.798,0.7,3.4,4.0,11.5,1.3,0.2,2.8,3.8,19.8,,119,116
2010-11,29,TOR,NBA,PG,68,55,2102,6.4,14.7,.440,1.4,3.8,.365,5.0,10.8,.466,2.2,2.5,.854,0.7,4.2,5.0,14.9,2.0,0.2,3.6,3.5,16.5,,112,114
2011-12,30,TOR,NBA,PG,53,53,1799,6.5,14.3,.457,1.8,4.8,.371,4.8,9.5,.500,1.8,2.0,.882,0.6,4.2,4.8,14.0,1.4,0.1,3.1,2.8,16.6,,116,108
2012-13,31,TOT,NBA,PG,73,58,2160,7.7,15.6,.491,3.2,6.9,.461,4.5,8.7,.516,1.8,2.0,.900,0.5,3.8,4.3,12.7,1.4,0.2,3.1,2.4,20.3,,124,111
2012-13,31,TOR,NBA,PG,45,30,1273,7.8,16.6,.470,3.3,7.7,.429,4.5,8.9,.505,2.0,2.2,.904,0.6,3.8,4.4,13.9,1.2,0.3,3.1,2.4,20.9,,123,111
2012-13,31,DET,NBA,PG,28,28,887,7.4,14.1,.527,3.0,5.8,.520,4.4,8.3,.532,1.5,1.7,.893,0.4,3.8,4.2,11.0,1.8,0.1,3.0,2.4,19.4,,126,111
2013-14,32,DAL,NBA,PG,81,81,2468,7.1,15.6,.456,4.0,8.8,.449,3.1,6.7,.464,1.1,1.3,.825,0.6,3.4,4.0,7.8,1.4,0.2,2.1,2.8,19.2,,120,112
2014-15,33,NYK,NBA,PG,42,42,1270,6.1,14.7,.415,2.4,5.9,.415,3.6,8.8,.415,1.2,1.3,.906,0.8,4.4,5.1,8.2,1.3,0.0,3.1,3.2,15.8,,103,113
2015-16,34,NYK,NBA,PG,72,72,2024,5.3,11.6,.459,2.1,5.2,.414,3.2,6.4,.496,1.1,1.2,.875,0.6,5.3,5.8,7.6,1.6,0.2,2.2,3.4,13.8,,114,109
2016-17,35,LAL,NBA,PG,23,11,286,5.5,13.2,.416,2.1,5.8,.353,3.4,7.4,.465,0.7,0.7,1.000,1.4,5.5,6.9,8.4,1.0,0.2,4.5,3.8,13.7,,97,115
