Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2004-05,23,PHI,NBA,SF,5,147,3.1,.433,.857,.071,2.4,9.2,5.6,8.3,1.5,0.6,21.7,12.1,,-0.2,0.1,-0.1,-0.048,,-4.9,2.2,-2.7,0.0
2007-08,26,UTA,NBA,SG,12,259,11.4,.560,.521,.342,2.2,9.7,5.8,4.2,0.8,2.6,8.7,16.1,,0.4,0.1,0.5,.092,,-0.7,1.1,0.4,0.2
2008-09,27,UTA,NBA,SF,5,136,12.8,.540,.565,.152,1.6,7.9,4.7,16.0,1.1,0.6,3.9,16.6,,0.2,0.0,0.2,.070,,-0.1,0.1,0.0,0.1
2009-10,28,UTA,NBA,SG,10,210,12.1,.639,.377,.148,0.0,6.2,3.1,9.7,1.2,0.0,9.7,15.3,,0.4,-0.1,0.3,.066,,-0.6,-0.2,-0.8,0.1
2010-11,29,CHI,NBA,SG,16,276,8.9,.519,.531,.071,0.4,7.9,4.1,10.9,1.6,0.8,13.7,19.6,,0.1,0.3,0.4,.072,,-0.4,-2.1,-2.5,0.0
2011-12,30,CHI,NBA,SG,6,94,9.1,.503,.591,.091,1.2,10.2,5.8,15.6,1.7,2.4,17.9,13.8,,0.0,0.2,0.1,.074,,-0.8,1.7,0.9,0.1
2012-13,31,ATL,NBA,SF,6,177,10.1,.562,.694,.245,0.0,12.7,6.2,3.9,0.6,1.9,10.0,16.2,,0.1,0.1,0.2,.065,,-0.9,0.5,-0.4,0.1
2013-14,32,ATL,NBA,SG,7,250,12.1,.659,.818,.182,0.9,17.0,8.4,3.9,0.8,0.7,13.4,15.3,,0.3,0.4,0.6,.122,,1.4,0.4,1.9,0.2
2014-15,33,ATL,NBA,SG,14,526,11.3,.557,.827,.120,0.2,14.1,7.1,9.5,2.0,2.3,13.0,13.9,,0.2,0.7,0.8,.077,,0.0,1.7,1.8,0.5
2015-16,34,ATL,NBA,SG,10,316,12.3,.652,.720,.120,1.1,14.6,8.2,4.9,1.6,1.1,9.2,12.3,,0.5,0.4,0.8,.122,,1.1,0.7,1.8,0.3
