Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2004-05,19,ATL,NBA,SF,74,2050,,2%,69%,27%,1%,-9.0,+3.4,79,37,19,91,,7,,262,106,29,35
2005-06,20,ATL,NBA,SF,80,2559,,2%,81%,17%,,-6.1,-1.9,87,42,33,161,,16,,428,125,24,33
2006-07,21,ATL,NBA,SF,72,2647,,5%,65%,30%,,-4.0,+4.0,92,60,75,128,,32,,529,185,47,52
2007-08,22,ATL,NBA,PF,81,2873,,,14%,85%,1%,-0.6,+5.5,119,67,59,163,,27,,608,233,67,74
2008-09,23,ATL,NBA,PF,69,2421,,,8%,90%,2%,+3.4,+3.9,66,58,37,88,,14,,396,172,48,60
2009-10,24,ATL,NBA,PF,81,2871,,,21%,79%,,+7.1,+7.3,104,55,39,144,,22,,792,219,72,68
2010-11,25,ATL,NBA,PF,77,2645,,3%,27%,68%,2%,+1.9,+8.5,121,50,26,121,,15,,577,150,44,54
2011-12,26,ATL,NBA,PF,66,2329,,,5%,88%,7%,+6.2,+8.6,97,45,22,96,,12,,597,159,50,49
2012-13,27,ATL,NBA,PF,76,2683,,,13%,77%,10%,+1.4,+2.9,125,66,35,81,,18,5,761,160,50,42
2013-14,28,DET,NBA,SF,77,2730,,,56%,43%,,-3.8,+0.8,104,76,19,99,3,11,2,574,137,43,39
2014-15,29,TOT,NBA,PF,83,2300,,,8%,85%,7%,-11.5,-13.1,123,54,29,0,0,0,0,671,0,18,48
2014-15,29,DET,NBA,PF,28,896,,,20%,80%,,-11.5,-13.1,41,23,8,37,1,5,4,317,45,9,19
2014-15,29,HOU,NBA,PF,55,1404,,,,88%,12%,+7.8,+6.6,82,31,21,73,12,11,5,354,49,9,29
2015-16,30,TOT,NBA,PF,55,880,,,,60%,40%,+0.5,+0.4,46,16,15,0,0,0,0,205,0,1,15
2015-16,30,LAC,NBA,PF,32,459,,,,37%,63%,-10.6,-16.9,26,7,8,28,4,3,1,91,15,0,10
2015-16,30,HOU,NBA,PF,23,421,,,,85%,15%,+0.5,+0.4,20,9,7,30,5,3,0,114,11,1,5
