Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2002-03,20,DEN,NBA,C,80,2258,15.4,.545,.005,.551,10.2,15.3,12.7,12.2,3.0,2.3,19.1,18.7,,1.3,3.8,5.0,.107,,-0.6,3.1,2.5,2.6
2003-04,21,DEN,NBA,PF,77,2504,14.8,.578,.003,.559,6.8,16.0,11.3,10.7,2.4,1.2,18.9,17.0,,3.1,3.0,6.1,.117,,0.1,1.6,1.7,2.4
2004-05,22,DEN,NBA,C,55,1317,15.6,.551,.005,.549,9.2,19.2,14.2,10.3,1.9,2.7,16.4,19.4,,1.2,2.1,3.2,.118,,-1.2,1.8,0.6,0.9
2005-06,23,DEN,NBA,PF,1,3,-54.4,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,66.7,44.8,,-0.1,0.0,-0.1,-1.312,,-43.9,-3.8,-47.7,0.0
2006-07,24,DEN,NBA,C,64,1715,17.8,.611,.002,.548,10.0,19.4,14.7,7.1,1.8,2.5,16.5,19.2,,2.9,2.4,5.3,.148,,0.0,1.5,1.5,1.5
2007-08,25,DEN,NBA,PF,16,266,11.1,.459,.014,.690,12.4,22.8,17.7,7.8,1.6,3.7,18.5,18.1,,-0.1,0.4,0.3,.052,,-4.6,1.6,-3.0,-0.1
2008-09,26,DEN,NBA,C,77,2510,18.8,.645,.007,.519,8.7,18.7,13.8,7.1,1.9,3.1,14.4,18.1,,5.6,3.7,9.3,.177,,1.3,2.1,3.4,3.4
2009-10,27,DEN,NBA,C,82,2755,18.9,.631,.003,.580,7.0,19.1,13.1,11.6,2.1,2.2,12.2,16.5,,7.1,3.7,10.8,.188,,2.1,2.5,4.7,4.6
2010-11,28,DEN,NBA,C,75,2291,20.4,.657,.008,.615,7.5,20.8,14.4,10.4,1.8,2.4,13.9,18.8,,6.4,3.1,9.6,.201,,2.3,2.3,4.6,3.8
2011-12,29,TOT,NBA,C,39,1110,18.6,.573,.010,.427,6.7,23.3,15.1,12.0,1.9,2.7,17.1,22.6,,1.3,1.4,2.7,.117,,-0.6,1.7,1.1,0.9
2011-12,29,DEN,NBA,C,28,826,16.7,.554,.007,.473,6.3,22.6,14.7,11.7,2.2,2.4,18.5,22.5,,0.5,1.1,1.6,.092,,-1.4,2.1,0.7,0.6
2011-12,29,WAS,NBA,C,11,284,24.2,.624,.018,.313,7.9,25.3,16.5,12.8,1.1,3.5,13.0,23.1,,0.8,0.3,1.1,.191,,1.8,0.6,2.4,0.3
2012-13,30,WAS,NBA,PF,61,1659,17.0,.538,.002,.453,6.7,20.6,13.6,19.0,1.7,1.8,16.3,23.4,,1.3,2.7,4.0,.116,,-1.1,2.3,1.3,1.4
2013-14,31,WAS,NBA,PF,53,1560,16.6,.530,.008,.448,4.7,17.3,10.9,16.3,2.1,2.5,14.1,24.0,,0.8,2.4,3.2,.098,,-1.6,1.8,0.2,0.9
2014-15,32,WAS,NBA,PF,67,1693,14.3,.534,.008,.336,5.7,17.0,11.5,12.0,2.0,1.0,15.2,21.8,,0.5,2.5,3.0,.086,,-1.9,1.3,-0.6,0.6
2015-16,33,WAS,NBA,PF,57,1094,16.8,.564,.008,.482,5.2,21.6,13.2,14.1,2.4,1.9,14.0,21.6,,1.1,1.6,2.7,.120,,-1.6,1.8,0.2,0.6
2016-17,34,HOU,NBA,C,45,771,17.1,.630,.026,.562,7.7,16.4,12.1,8.2,2.2,3.1,15.7,19.1,,1.3,1.0,2.3,.144,,-1.2,1.1,-0.1,0.4
