Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1998-99,22,GSW,NBA,SF,47,24,1058,9.1,20.1,.452,0.2,0.5,.300,8.9,19.6,.456,4.6,7.8,.588,6.7,8.7,15.4,1.7,1.9,0.8,3.5,5.2,22.9,,100,100
1999-00,23,GSW,NBA,SF,43,41,1556,11.5,24.4,.471,0.1,0.2,.286,11.4,24.2,.473,4.1,6.7,.611,5.6,6.0,11.6,2.9,1.0,0.5,3.7,3.7,27.2,,100,111
2000-01,24,GSW,NBA,SF,82,82,3394,12.0,27.2,.442,0.9,3.1,.302,11.1,24.2,.459,5.7,8.0,.715,4.2,6.5,10.7,2.5,1.7,0.4,3.0,3.4,30.7,,104,108
2001-02,25,GSW,NBA,SF,82,82,3033,10.3,23.0,.447,1.1,3.5,.324,9.1,19.5,.469,5.4,7.4,.734,3.5,5.8,9.3,2.7,1.2,0.8,2.7,3.1,27.1,,109,111
2002-03,26,GSW,NBA,SF,82,82,3226,10.9,23.2,.470,1.0,3.3,.311,9.9,19.9,.496,5.9,7.5,.789,3.1,6.0,9.1,2.5,1.2,0.7,2.8,3.1,28.8,,113,111
2003-04,27,DAL,NBA,SF,82,2,2376,10.6,19.8,.535,0.3,0.9,.400,10.2,18.9,.541,4.8,6.4,.748,5.0,6.2,11.3,1.5,1.8,0.7,1.8,3.8,26.3,,122,108
2004-05,28,WAS,NBA,PF,68,68,2605,10.2,23.5,.437,1.4,4.1,.341,8.8,19.4,.457,4.4,5.8,.760,3.2,7.1,10.2,3.0,1.1,0.3,2.3,3.0,26.3,,108,109
2005-06,29,WAS,NBA,SF,82,80,3288,10.4,23.6,.442,2.3,5.9,.394,8.1,17.7,.458,3.4,4.7,.731,2.6,9.5,12.1,2.5,1.4,0.2,2.2,3.0,26.6,,109,107
2006-07,30,WAS,NBA,PF,70,70,2662,9.8,21.8,.450,2.6,7.3,.364,7.2,14.6,.492,4.3,5.9,.736,2.6,8.2,10.8,2.6,1.5,0.7,2.0,3.7,26.6,,113,110
2007-08,31,WAS,NBA,PF,79,79,3061,10.8,24.8,.436,2.1,6.2,.339,8.7,18.6,.468,5.8,7.7,.760,3.8,10.4,14.1,2.1,1.9,0.6,2.0,3.4,29.6,,112,107
2008-09,32,WAS,NBA,PF,81,81,3096,11.5,24.6,.468,1.9,5.4,.351,9.6,19.1,.501,5.8,7.7,.754,3.3,8.9,12.3,2.6,1.6,0.4,2.1,3.7,30.7,,114,113
2009-10,33,TOT,NBA,PF,66,64,2406,10.4,22.6,.461,1.9,5.4,.344,8.6,17.2,.498,4.2,6.5,.647,3.0,9.1,12.1,1.8,1.5,0.5,2.0,3.9,26.9,,108,107
2009-10,33,WAS,NBA,PF,41,41,1595,10.3,23.0,.450,1.9,5.5,.345,8.4,17.5,.483,5.0,7.1,.700,3.3,8.6,11.9,1.7,1.4,0.3,2.0,3.7,27.6,,109,109
2009-10,33,CLE,NBA,PF,25,23,811,10.6,21.8,.485,1.7,5.1,.342,8.8,16.7,.529,2.7,5.4,.506,2.4,10.1,12.5,2.1,1.8,0.8,1.9,4.3,25.6,,106,102
2010-11,34,CLE,NBA,PF,56,38,1842,10.5,24.5,.427,2.5,7.4,.346,7.9,17.2,.462,4.8,6.6,.731,2.4,8.1,10.5,2.6,1.4,0.8,2.2,3.8,28.3,,104,111
2011-12,35,CLE,NBA,PF,65,65,2151,10.3,25.5,.403,2.2,6.5,.341,8.1,19.0,.425,4.5,6.6,.683,3.0,7.0,10.0,3.2,1.2,1.1,2.2,4.0,27.3,,103,109
2012-13,36,LAL,NBA,PF,76,6,1636,8.3,17.9,.464,2.6,7.2,.361,5.7,10.6,.535,2.9,4.2,.691,3.4,7.9,11.2,1.6,0.9,0.7,1.6,3.9,22.1,,114,108
2013-14,37,LAC,NBA,PF,22,0,248,5.9,18.6,.315,1.6,8.3,.195,4.2,10.3,.412,3.6,5.0,.720,1.8,9.3,11.1,1.4,1.8,0.6,1.4,5.9,16.9,,89,103
