Player,Sim,1,2,3,4,5,6,7,8,9
Mike Conley,,9.9,8.2,6.8,6.6,6.4,5.3,4.5,4.0,1.1
Tom Gola,93.6,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7
World B. Free,93.3,10.1,8.0,7.4,6.9,6.0,5.7,5.3,4.6,1.5
Jose Calderon,92.4,10.2,7.5,7.4,6.3,5.4,5.1,4.2,3.7,0.9
Reggie Theus,92.1,9.2,6.9,6.5,6.4,6.2,5.3,4.6,3.2,1.8
George Hill,91.8,9.7,7.8,6.7,6.2,6.1,5.4,4.0,2.1,
Randy Smith,91.7,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.0,2.2
Ron Boone,91.4,9.7,8.3,8.1,6.2,5.9,5.9,5.1,4.0,2.8
Carl Braun,90.7,9.0,8.6,7.6,7.2,6.2,5.3,4.7,3.7,3.6
Mike Bibby,90.6,9.3,8.5,8.4,6.3,5.6,5.6,5.3,4.4,1.3
Fred Brown,90.2,8.8,7.9,6.7,6.4,6.1,5.2,4.9,2.8,-0.9
