Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2006-07,20,BOS,NBA,PG,78,25,1831,5.4,12.8,.418,0.2,0.8,.207,5.2,12.0,.432,3.4,5.2,.647,2.1,6.2,8.3,8.5,3.6,0.2,3.9,5.2,14.3,,97,103
2007-08,21,BOS,NBA,PG,77,77,2306,8.0,16.3,.492,0.1,0.4,.263,7.9,15.9,.499,2.4,4.0,.611,1.8,5.6,7.4,9.0,3.0,0.3,3.4,4.3,18.6,,107,98
2008-09,22,BOS,NBA,PG,80,80,2642,7.7,15.3,.505,0.3,1.0,.313,7.4,14.3,.518,3.5,5.4,.642,2.0,6.4,8.4,13.2,3.0,0.2,4.2,3.9,19.2,,114,101
2009-10,23,BOS,NBA,PG,81,81,2963,8.1,16.0,.508,0.3,1.4,.213,7.8,14.6,.536,3.1,5.0,.621,1.8,4.6,6.4,14.0,3.3,0.2,4.3,3.5,19.6,,111,103
2010-11,24,BOS,NBA,PG,68,68,2527,6.7,14.1,.475,0.2,0.9,.233,6.5,13.2,.491,1.6,2.8,.568,1.8,4.4,6.2,16.0,3.2,0.2,4.9,2.5,15.2,,104,100
2011-12,25,BOS,NBA,PG,53,53,1957,6.9,15.5,.448,0.3,1.1,.238,6.7,14.4,.464,2.9,4.9,.597,1.7,5.3,7.0,16.8,2.6,0.1,5.2,2.7,17.1,,101,99
2012-13,26,BOS,NBA,PG,38,38,1423,8.3,17.1,.484,0.4,1.8,.240,7.8,15.3,.513,2.2,3.4,.645,1.6,6.2,7.8,15.4,2.6,0.3,5.4,3.5,19.2,,103,103
2013-14,27,BOS,NBA,PG,30,30,998,7.3,18.0,.403,1.3,4.6,.289,5.9,13.4,.442,2.2,3.5,.627,1.1,7.3,8.5,15.2,2.1,0.1,5.1,3.4,18.0,,99,107
2014-15,28,TOT,NBA,PG,68,68,2018,6.9,16.1,.426,0.7,2.1,.314,6.2,13.9,.444,0.8,1.9,.397,1.8,7.5,9.3,13.4,2.3,0.2,5.2,3.8,15.2,,95,105
2014-15,28,BOS,NBA,PG,22,22,699,5.8,14.3,.405,0.6,2.3,.250,5.2,12.0,.435,0.9,2.6,.333,1.8,10.0,11.8,17.0,2.7,0.2,5.4,3.0,13.0,,95,101
2014-15,28,DAL,NBA,PG,46,46,1319,7.4,17.0,.436,0.7,2.1,.352,6.7,15.0,.448,0.7,1.6,.452,1.8,6.1,8.0,11.5,2.1,0.2,5.2,4.2,16.3,,94,107
2015-16,29,SAC,NBA,PG,72,72,2537,6.7,14.8,.454,1.2,3.2,.365,5.5,11.6,.479,1.6,2.8,.580,1.5,6.8,8.2,15.9,2.7,0.2,5.3,3.3,16.3,,105,107
2016-17,30,CHI,NBA,PG,42,29,1127,5.2,14.2,.363,1.0,3.1,.324,4.2,11.2,.373,0.8,1.3,.567,1.7,8.3,10.0,12.4,2.5,0.3,4.5,3.7,12.1,,92,106
