Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Rajon Rondo,,9.9,9.6,7.2,6.6,4.9,4.6,3.2,2.4,1.6,1.1,,,,
Paul Pressey,93.0,9.8,9.6,7.1,5.5,4.8,3.8,3.2,3.0,2.0,0.3,0.1,,,
Jim Paxson,90.6,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3,,,
Darrell Armstrong,89.8,8.7,8.0,7.6,6.4,5.3,4.9,3.2,2.5,1.8,0.8,0.3,0.1,0.1,0.0
Andy Phillip,89.0,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,1.5,,,,
Sleepy Floyd,88.8,10.0,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,1.0,0.9,-0.2,-0.4,
Michael Adams,88.4,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1,,,
Tom Gola,87.4,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7,1.7,,,,
Kenny Smith,87.3,9.0,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2,0.6,,,,
Jon McGlocklin,87.0,8.9,8.2,7.9,5.8,5.2,3.8,3.4,1.8,1.1,0.9,0.2,,,
Michael Redd,86.3,10.8,9.7,8.0,6.2,6.1,5.8,4.6,3.2,0.8,0.6,0.1,-0.1,,
