Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,22,GSW,NBA,SF,82,3,1305,4.6,11.5,.403,1.4,4.1,.347,3.2,7.4,.434,2.2,2.8,.780,1.8,4.1,5.9,2.9,1.5,0.5,2.4,3.3,12.9
2003-04,23,GSW,NBA,SF,75,69,2336,5.0,11.1,.449,1.4,3.9,.370,3.5,7.2,.491,2.1,2.9,.741,1.3,5.5,6.8,3.4,1.0,0.2,2.2,2.6,13.5
2004-05,24,GSW,NBA,SF,79,79,2570,5.7,12.7,.451,1.5,3.9,.388,4.2,8.8,.479,1.9,2.4,.779,1.4,4.7,6.1,2.8,1.1,0.4,1.8,2.8,14.8
2005-06,25,GSW,NBA,SF,81,68,2578,4.6,11.4,.406,1.0,3.6,.285,3.6,7.8,.462,2.7,3.5,.778,1.1,4.5,5.6,3.3,0.8,0.4,1.7,2.8,13.0
2006-07,26,TOT,NBA,SG-PF,82,49,2580,5.4,11.9,.452,1.0,3.1,.313,4.4,8.7,.502,2.9,3.8,.784,1.2,4.8,6.0,3.2,1.2,0.3,2.1,2.8,14.6
2006-07,26,GSW,NBA,PF,39,6,1051,5.7,12.7,.449,1.2,3.6,.346,4.5,9.1,.489,2.7,3.5,.772,1.4,5.0,6.4,4.0,1.3,0.4,2.4,2.8,15.3
2006-07,26,IND,NBA,SG,43,43,1529,5.1,11.3,.454,0.8,2.8,.283,4.3,8.5,.511,3.1,4.0,.792,1.0,4.7,5.7,2.6,1.1,0.2,1.8,2.8,14.2
2007-08,27,IND,NBA,SG,82,82,2953,6.5,13.6,.476,2.0,4.7,.424,4.5,8.9,.504,4.1,4.9,.834,0.7,4.4,5.2,3.5,1.0,0.4,2.3,2.5,19.1
2008-09,28,IND,NBA,SG,18,14,495,6.8,16.9,.401,2.3,6.5,.356,4.4,10.3,.430,3.9,4.7,.815,1.0,3.9,4.9,3.2,0.9,0.7,2.8,2.6,19.7
2009-10,29,IND,NBA,SF,67,15,1486,5.5,13.5,.410,1.8,5.7,.318,3.7,7.8,.478,3.2,3.8,.842,0.6,5.1,5.7,2.5,0.9,0.4,1.7,2.5,16.1
2010-11,30,IND,NBA,SG,61,44,1683,5.1,11.1,.462,2.2,5.4,.402,3.0,5.7,.519,2.1,2.7,.800,0.6,5.3,5.9,2.2,0.9,0.6,1.5,2.3,14.6
2011-12,31,MIL,NBA,SF,55,3,1445,6.0,12.6,.474,2.1,5.2,.399,3.9,7.4,.527,2.9,3.6,.811,0.7,4.4,5.1,2.9,0.7,0.2,1.4,2.2,16.9
2012-13,32,MIL,NBA,SF,75,3,1943,5.1,11.6,.442,2.4,5.5,.428,2.7,6.0,.455,1.9,2.4,.820,0.6,4.8,5.4,2.7,0.7,0.6,1.7,2.5,14.5
2013-14,33,CHI,NBA,SF,82,61,2584,4.6,10.8,.430,1.7,4.5,.380,2.9,6.3,.467,2.0,2.3,.854,0.6,4.2,4.8,2.6,0.9,0.6,1.5,2.3,12.9
2014-15,34,CHI,NBA,SF,63,63,1838,4.1,9.4,.435,2.1,5.2,.407,2.0,4.3,.468,1.4,1.7,.805,0.5,4.3,4.9,2.2,0.8,0.4,1.2,2.4,11.7
2015-16,35,CHI,NBA,SF,31,30,703,3.9,9.6,.410,2.0,5.1,.394,1.9,4.6,.427,1.5,1.9,.784,0.4,3.8,4.3,2.0,0.7,0.5,1.3,3.4,11.4
2016-17,36,TOT,NBA,SF,35,2,583,4.0,9.4,.428,2.2,5.7,.387,1.8,3.6,.492,1.4,1.9,.767,0.7,4.1,4.9,2.1,0.7,0.2,1.2,2.9,11.7
2016-17,36,CLE,NBA,SF,23,2,366,3.5,8.9,.400,2.0,5.6,.351,1.6,3.2,.485,1.4,1.9,.737,0.5,4.1,4.6,2.0,0.6,0.2,1.4,3.1,10.4
2016-17,36,ATL,NBA,SF,12,0,217,4.8,10.3,.468,2.7,6.0,.444,2.2,4.3,.500,1.5,1.8,.818,1.2,4.1,5.3,2.3,0.8,0.3,1.0,2.5,13.8
