Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2005-06,21,MIL,NBA,PF,82,2348,.533,3.4,.995,.670,.196,.069,.059,.005,.536,.616,.387,.405,.278,.000,.598,.109,61,,.000,,0,0
2006-07,22,MIL,NBA,C,66,2258,.553,4.4,.992,.599,.223,.100,.070,.008,.556,.658,.479,.333,.250,.200,.545,.103,62,1.000,.000,,1,0
2007-08,23,MIL,NBA,C,78,2720,.511,3.9,.992,.557,.336,.054,.045,.008,.515,.598,.448,.224,.341,.000,.602,.116,102,,.000,,0,0
2008-09,24,MIL,NBA,C,36,1124,.577,3.5,1.000,.599,.309,.066,.025,.000,.577,.658,.490,.429,.125,,.574,.132,38,,,,0,0
2009-10,25,MIL,NBA,C,69,2229,.520,4.3,.998,.447,.468,.069,.013,.002,.521,.634,.437,.333,.667,.000,.524,.076,61,,.000,,1,0
2010-11,26,MIL,NBA,C,65,2297,.495,4.8,.995,.411,.512,.063,.008,.005,.497,.656,.403,.298,.000,.000,.482,.089,63,,.000,,1,0
2011-12,27,MIL,NBA,C,12,364,.449,6.0,.993,.324,.522,.096,.051,.007,.452,.750,.282,.462,.286,.000,.590,.074,10,,.000,,0,0
2012-13,28,GSW,NBA,C,32,786,.451,4.7,.995,.495,.435,.043,.022,.005,.448,.582,.313,.250,.500,1.000,.610,.114,17,1.000,.000,,0,0
2013-14,29,GSW,NBA,C,67,1769,.627,3.1,1.000,.696,.253,.032,.019,.000,.627,.697,.442,.583,.571,,.715,.259,91,,,,0,0
2014-15,30,GSW,NBA,C,67,1583,.563,3.7,1.000,.580,.358,.056,.006,.000,.563,.650,.480,.250,.000,,.660,.186,56,,,,0,0
2015-16,31,GSW,NBA,C,70,1451,.627,2.7,.996,.677,.258,.047,.014,.004,.626,.757,.375,.231,.250,1.000,.764,.297,78,.000,.000,,0,0
2016-17,32,DAL,NBA,C,25,565,.468,4.4,.987,.455,.468,.065,.000,.013,.474,.571,.417,.200,,.000,.528,.104,7,,.000,,0,0
