Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Devin Harris,,7.5,6.5,5.6,4.2,4.2,4.2,3.7,3.3,2.7,2.7,2.5,1.6
Jalen Rose,90.5,7.3,7.3,5.7,4.8,3.8,3.6,3.3,2.9,2.5,2.1,1.8,1.5
Vinnie Johnson,90.3,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.8,3.2,2.7,2.3,0.2
Nate McMillan,87.9,6.5,6.0,5.6,5.1,4.9,4.4,4.1,3.7,3.7,2.8,2.6,0.8
J.R. Smith,87.5,6.7,5.8,5.5,5.0,3.7,3.7,3.7,3.7,2.7,2.5,1.2,0.2
Jameer Nelson,87.1,6.6,6.0,5.6,5.0,4.9,4.0,3.5,2.8,2.5,2.1,1.4,0.5
Sedale Threatt,87.0,7.3,7.1,4.6,4.6,4.5,3.8,3.4,2.7,2.5,2.1,1.3,0.1
John Lucas,86.2,7.9,5.9,5.7,5.2,4.8,4.3,4.3,3.9,3.9,3.2,1.3,0.4
Derek Fisher,85.4,5.8,5.7,5.5,5.2,3.9,3.8,3.7,3.1,2.4,1.8,1.7,1.1
Kendall Gill,84.9,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.8,0.7,-0.4
Slater Martin,84.7,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,2.2,1.4,
