Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2000-01,20,CHI,NBA,PG,61,1050,8.5,.442,.385,.112,1.0,9.4,5.0,23.0,2.2,1.0,21.0,17.9,,-1.3,0.4,-0.9,-0.043,,-3.9,-2.3,-6.3,-1.1
2001-02,21,CHI,NBA,PG,23,481,15.3,.555,.310,.070,1.2,7.2,4.1,21.8,2.0,0.8,14.2,21.5,,0.4,0.2,0.6,.055,,0.6,-2.8,-2.2,0.0
2002-03,22,CHI,NBA,PG,80,1992,15.4,.496,.300,.160,1.2,9.0,5.1,28.8,2.0,0.9,13.4,22.2,,1.6,1.1,2.8,.067,,0.9,-2.0,-1.0,0.5
2003-04,23,CHI,NBA,SG,80,2811,15.9,.486,.395,.182,1.7,9.5,5.5,27.5,2.1,0.8,11.9,25.7,,1.9,2.1,4.1,.069,,2.4,-1.3,1.1,2.2
2004-05,24,NYK,NBA,SG,70,2688,15.2,.521,.467,.197,1.4,7.5,4.4,19.2,1.8,0.5,11.0,22.8,,3.1,1.1,4.2,.075,,2.5,-1.8,0.8,1.9
2005-06,25,NYK,NBA,SG,79,2555,15.5,.544,.333,.406,1.7,10.2,5.9,20.9,1.8,0.5,14.4,21.5,,3.7,0.8,4.5,.084,,2.1,-1.4,0.7,1.7
2006-07,26,NYK,NBA,SG,59,2198,14.5,.517,.363,.307,2.4,7.8,5.1,20.9,1.4,0.3,13.9,24.1,,2.3,0.9,3.1,.069,,1.4,-2.0,-0.6,0.7
2007-08,27,NYK,NBA,SG,80,3190,16.0,.528,.355,.274,1.3,6.3,3.7,22.0,1.3,0.4,11.0,24.6,,4.6,0.4,5.0,.076,,2.5,-2.7,-0.2,1.5
2008-09,28,TOT,NBA,PG-SG,65,2479,15.1,.545,.386,.337,1.0,7.5,4.2,18.1,1.1,0.4,11.2,22.8,,3.3,0.0,3.3,.065,,1.7,-3.4,-1.7,0.2
2008-09,28,NYK,NBA,SG,11,392,15.7,.571,.456,.272,0.5,4.3,2.4,20.0,1.1,0.0,12.1,23.9,,0.6,0.1,0.7,.083,,1.7,-4.0,-2.3,0.0
2008-09,28,GSW,NBA,PG,54,2087,15.0,.541,.372,.349,1.1,8.1,4.6,17.8,1.1,0.4,11.0,22.6,,2.7,-0.1,2.7,.061,,1.7,-3.2,-1.6,0.2
2009-10,29,ATL,NBA,SG,79,2460,18.4,.573,.386,.285,1.6,8.0,4.8,16.1,1.3,0.4,9.9,25.8,,5.6,1.7,7.3,.143,,3.5,-2.7,0.8,1.8
2010-11,30,ATL,NBA,SG,76,2297,14.2,.545,.399,.297,1.2,5.6,3.4,17.7,1.3,0.5,12.8,23.4,,1.9,1.4,3.4,.071,,0.7,-2.7,-2.0,0.0
2011-12,31,POR,NBA,PG,60,1613,15.7,.506,.353,.280,1.1,7.5,4.3,20.5,1.8,0.7,11.8,26.6,,1.6,0.7,2.3,.069,,0.9,-2.6,-1.7,0.1
2012-13,32,LAC,NBA,SG,76,2230,16.8,.558,.390,.244,1.2,5.6,3.4,14.4,1.9,0.5,11.5,26.0,,3.7,1.7,5.4,.116,,2.0,-2.6,-0.6,0.8
2013-14,33,LAC,NBA,SG,69,2094,17.3,.556,.441,.318,1.9,6.4,4.2,17.4,1.4,0.4,10.5,27.2,,3.8,1.5,5.3,.122,,2.7,-2.6,0.2,1.2
2014-15,34,LAC,NBA,SG,64,1703,16.6,.532,.434,.300,1.2,6.9,4.1,14.9,1.8,0.7,8.8,27.6,,2.5,1.2,3.6,.102,,1.7,-2.7,-1.0,0.4
2015-16,35,LAC,NBA,SG,79,2126,14.0,.529,.366,.289,1.0,6.3,3.7,14.0,1.2,0.4,9.6,24.9,,1.8,1.5,3.3,.076,,-0.2,-2.4,-2.6,-0.3
2016-17,36,LAC,NBA,SG,50,1339,10.5,.497,.345,.203,0.9,6.0,3.5,16.6,1.2,0.7,13.0,23.0,,-0.4,0.7,0.4,.013,,-1.9,-2.2,-4.2,-0.7
