Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2000-01,21,SAC,NBA,SF,8,0,141,7.1,16.3,.435,2.8,5.0,.571,4.2,11.3,.375,4.2,4.2,1.000,2.5,7.4,9.9,3.9,1.1,0.4,2.1,6.4,21.2,,122,103
2001-02,22,SAC,NBA,SF,16,8,443,6.3,15.8,.401,1.4,3.9,.353,5.0,11.9,.417,1.8,3.6,.516,2.0,7.6,9.6,2.7,0.7,1.0,2.7,5.7,15.9,,92,105
2002-03,23,SAC,NBA,SF,10,5,174,5.2,14.6,.360,1.2,4.1,.286,4.1,10.5,.389,3.8,5.2,.722,1.5,7.0,8.4,4.1,3.5,1.5,1.5,5.5,15.4,,104,105
2003-04,24,SAS,NBA,SF,10,10,271,5.3,16.4,.321,2.8,8.5,.333,2.4,7.9,.308,2.2,3.7,.611,1.0,8.1,9.1,3.0,1.8,0.2,3.2,4.1,15.6,,86,99
2006-07,27,ORL,NBA,SF,4,4,156,9.0,18.0,.500,1.1,3.2,.333,7.9,14.8,.537,0.7,1.4,.500,0.7,4.0,4.7,5.0,1.8,1.4,3.6,5.0,19.8,,99,113
2007-08,28,ORL,NBA,SF,10,10,399,8.7,19.4,.447,1.4,4.8,.286,7.3,14.6,.500,5.4,6.3,.848,1.9,6.9,8.8,7.6,1.1,0.3,5.2,4.8,24.1,,106,111
2008-09,29,ORL,NBA,SF,24,24,934,7.3,17.0,.427,1.8,4.8,.386,5.4,12.2,.443,5.4,6.6,.817,0.5,5.8,6.3,6.7,1.0,0.2,3.7,4.6,21.8,,106,108
2010-11,31,ORL,NBA,SF,6,6,209,5.3,18.0,.294,1.9,8.0,.233,3.4,10.1,.342,2.1,3.7,.571,0.3,4.8,5.0,5.8,2.1,0.3,1.9,4.8,14.6,,87,101
2011-12,32,ORL,NBA,SF,5,5,162,5.1,14.0,.366,1.7,4.1,.417,3.4,9.9,.345,2.4,3.8,.636,1.4,3.4,4.8,4.1,1.7,1.4,3.1,6.2,14.4,,89,108
2013-14,34,LAC,NBA,SF,5,0,41,7.3,15.9,.462,4.9,12.2,.400,2.4,3.7,.667,0.0,0.0,,0.0,6.1,6.1,1.2,3.7,0.0,0.0,3.7,19.5,,126,109
2014-15,35,LAC,NBA,SF,11,0,55,3.5,15.0,.235,1.8,11.5,.154,1.8,3.5,.500,0.0,0.0,,0.9,5.3,6.2,3.5,3.5,0.9,1.8,8.8,8.8,,68,104
