Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Serge Ibaka,,9.6,9.4,7.6,6.2,5.6,5.5,3.7,,,,
Bob Love,91.0,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1.0,1.0,0.6,0.2
Red Robbins,86.5,10.7,9.3,7.0,6.9,6.7,3.9,3.7,2.3,,,
Bob Netolicky,86.4,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0.0,,
Mehmet Okur,84.5,9.3,8.8,7.4,7.0,6.7,5.9,5.6,3.8,0.2,0.0,
Cincinnatus Powell,84.2,8.1,7.0,6.8,6.4,5.4,4.3,3.0,0.1,,,
Calvin Natt,83.1,10.2,9.8,9.3,8.4,7.1,6.1,4.2,1.1,0.5,0.3,0.0
Jim McMillian,82.8,8.9,7.9,7.8,6.4,6.0,3.4,2.6,2.5,0.5,,
Rodney McCray,82.8,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9,
Larry Kenon,82.6,10.0,9.5,8.8,7.5,6.2,5.9,5.4,4.1,0.9,0.2,
Greg Ballard,82.1,9.4,7.9,6.9,6.9,6.0,5.6,3.9,3.6,2.0,1.7,0.0
