Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,22,ORL,NBA,PG,79,21,1612,6.4,14.0,.455,1.0,3.1,.312,5.4,10.9,.497,1.6,2.4,.682,1.2,3.1,4.3,5.3,1.7,0.1,2.6,4.4,15.4
2005-06,23,ORL,NBA,PG,62,33,1784,7.0,14.5,.483,1.4,3.3,.424,5.6,11.2,.500,2.8,3.7,.779,0.8,2.8,3.6,6.1,1.4,0.2,3.0,3.5,18.3
2006-07,24,ORL,NBA,PG,77,77,2331,5.8,13.5,.430,1.0,3.0,.335,4.8,10.5,.457,2.8,3.4,.828,0.8,2.9,3.6,5.1,1.1,0.1,2.8,3.5,15.4
2007-08,25,ORL,NBA,PG,69,62,1961,5.2,11.1,.469,1.2,2.8,.416,4.0,8.2,.488,2.3,2.8,.828,0.5,3.9,4.5,7.0,1.2,0.1,2.6,3.1,13.9
2008-09,26,ORL,NBA,PG,42,42,1309,7.3,14.6,.503,2.3,5.0,.453,5.1,9.6,.529,2.4,2.7,.887,0.6,3.4,4.0,6.2,1.4,0.1,2.3,3.4,19.3
2009-10,27,ORL,NBA,PG,65,64,1860,6.1,13.7,.449,1.7,4.4,.381,4.5,9.3,.481,1.9,2.2,.845,0.5,3.3,3.8,6.8,0.9,0.0,2.7,2.8,15.8
2010-11,28,ORL,NBA,PG,76,76,2319,5.8,13.0,.446,1.8,4.6,.401,4.0,8.4,.471,2.0,2.5,.802,0.6,2.9,3.5,7.1,1.2,0.0,3.0,3.2,15.5
2011-12,29,ORL,NBA,PG,57,57,1706,5.5,12.8,.427,1.8,4.9,.377,3.6,7.9,.459,1.5,1.9,.807,0.6,3.2,3.8,6.9,0.8,0.1,2.8,2.7,14.3
2012-13,30,ORL,NBA,PG,56,56,1977,5.6,14.2,.392,2.2,6.5,.341,3.4,7.7,.435,1.6,1.9,.873,0.4,3.4,3.8,7.5,1.3,0.1,2.8,2.9,15.0
2013-14,31,ORL,NBA,PG,68,68,2179,4.9,12.3,.394,2.2,6.5,.348,2.6,5.9,.444,1.6,1.9,.857,0.5,3.3,3.8,7.9,0.9,0.1,2.7,2.4,13.5
2014-15,32,TOT,NBA,PG,63,29,1407,5.2,12.9,.407,2.3,6.6,.345,3.0,6.3,.472,0.6,0.9,.667,0.8,2.9,3.7,6.5,1.2,0.2,2.8,3.5,13.4
2014-15,32,DAL,NBA,PG,23,23,584,3.8,10.0,.374,2.3,6.3,.369,1.4,3.7,.383,0.4,0.5,.875,0.9,3.0,3.9,5.9,0.9,0.1,2.4,3.3,10.3
2014-15,32,BOS,NBA,PG,6,1,121,2.7,12.2,.220,1.5,7.4,.200,1.2,4.8,.250,1.8,2.7,.667,0.9,4.2,5.1,9.8,2.1,0.0,2.7,3.9,8.6
2014-15,32,DEN,NBA,PG,34,5,702,6.9,15.4,.450,2.4,6.7,.354,4.6,8.7,.524,0.6,1.0,.579,0.8,2.6,3.4,6.4,1.3,0.2,3.1,3.6,16.8
2015-16,33,DEN,NBA,PG,39,15,1036,3.9,10.7,.368,1.5,5.0,.299,2.4,5.7,.429,1.0,1.2,.857,0.7,3.3,4.0,6.6,0.9,0.2,2.3,3.5,10.4
2016-17,34,DEN,NBA,PG,49,13,1247,4.9,11.1,.439,1.7,4.7,.370,3.1,6.4,.489,0.9,1.3,.727,0.5,2.5,3.0,6.6,0.9,0.1,2.5,3.9,12.4
