Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2001-02,20,UTA,NBA,SF,82,2151,18.8,.553,.158,.586,8.3,14.2,11.2,7.4,2.9,5.9,11.9,19.0,,4.0,3.3,7.3,.164,,0.8,3.0,3.8,3.2
2002-03,21,UTA,NBA,SF,80,2213,21.1,.598,.178,.576,8.4,14.4,11.5,10.6,2.9,6.1,14.5,19.6,,5.3,3.8,9.2,.199,,2.6,4.0,6.6,4.8
2003-04,22,UTA,NBA,PF,78,2895,22.6,.559,.216,.533,9.5,17.5,13.5,15.7,2.9,6.3,15.8,21.9,,6.5,5.0,11.6,.192,,3.6,4.7,8.2,7.5
2004-05,23,UTA,NBA,PF,41,1349,24.4,.599,.183,.617,8.0,15.7,11.7,17.4,2.7,8.5,14.4,21.3,,3.5,2.0,5.5,.197,,3.8,5.3,9.1,3.8
2005-06,24,UTA,NBA,SF,69,2604,20.7,.556,.160,.678,7.4,18.4,12.9,20.5,2.1,7.0,17.6,20.5,,3.6,4.3,7.9,.145,,1.5,4.9,6.4,5.5
2006-07,25,UTA,NBA,SF,70,2049,14.3,.558,.179,.572,5.2,14.3,9.8,14.5,1.9,5.8,20.5,14.4,,1.6,2.9,4.4,.104,,-0.5,4.4,4.0,3.1
2007-08,26,UTA,NBA,SF,72,2217,17.2,.603,.213,.472,6.7,11.9,9.3,18.2,2.0,4.0,17.6,16.1,,4.3,2.8,7.1,.154,,2.4,3.0,5.4,4.1
2008-09,27,UTA,NBA,PF,67,1831,16.8,.549,.128,.546,5.5,15.3,10.4,14.7,2.3,3.3,14.6,20.3,,2.0,2.6,4.6,.122,,-0.2,2.5,2.4,2.0
2009-10,28,UTA,NBA,SF,58,1681,18.2,.588,.185,.485,5.5,12.9,9.3,14.0,2.5,3.4,11.9,17.7,,3.3,2.7,6.0,.171,,1.6,2.9,4.5,2.8
2010-11,29,UTA,NBA,SF,64,1999,16.6,.567,.181,.498,6.0,13.8,9.9,14.9,2.1,3.0,15.0,17.8,,2.9,1.7,4.5,.109,,0.8,1.3,2.2,2.1
2012-13,31,MIN,NBA,SF,64,2034,17.6,.590,.214,.446,5.6,15.1,10.2,14.4,2.4,2.4,15.1,17.4,,3.4,2.6,6.0,.142,,1.4,2.8,4.2,3.2
2013-14,32,BRK,NBA,PF,45,857,12.4,.532,.031,.744,7.7,12.7,10.2,13.1,2.4,1.9,20.3,14.6,,0.4,0.9,1.3,.070,,-1.9,1.8,-0.1,0.4
2014-15,33,BRK,NBA,SF,7,36,2.8,.222,.000,.800,6.2,18.6,12.5,3.6,1.4,0.0,12.9,9.8,,-0.1,0.0,0.0,-0.058,,-8.1,-0.2,-8.3,-0.1
