Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Marvin Williams,,7.8,6.1,5.7,5.7,4.9,4.3,4.0,2.9,2.8,2.3,2.3
Juwan Howard,92.5,7.0,6.0,5.6,4.9,4.6,4.4,3.6,3.2,2.8,2.8,1.9
Robert Horry,92.4,6.9,6.6,5.9,5.7,4.9,4.8,4.2,3.6,2.9,2.6,1.7
Joe Smith,92.3,6.8,6.3,6.1,5.5,4.7,4.4,4.4,3.7,3.0,2.6,2.3
Wayman Tisdale,91.5,7.0,5.9,5.7,5.6,5.4,4.5,3.4,3.2,2.0,1.8,1.7
Amir Johnson,91.1,7.3,6.3,5.9,5.6,5.1,4.5,4.0,3.0,2.7,0.5,0.2
Caron Butler,91.0,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.3,2.1,1.2
Junior Bridgeman,90.5,6.7,6.1,5.5,5.1,4.8,4.0,3.6,3.1,2.6,2.1,0.8
Josh Smith,89.8,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1
Metta World Peace,89.6,8.0,7.2,6.7,5.5,5.3,4.7,3.7,2.7,2.3,1.9,1.3
James Posey,89.5,10.0,6.2,5.4,5.2,4.3,4.2,4.2,3.8,2.7,2.4,2.3
