Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,26,NYK,NBA,C,63,2127,,,,2%,98%,+2.4,-1.6,19,14,30,96,,12,,110,111,30,34
2001-02,27,NYK,NBA,C,29,1007,,,,5%,95%,-4.5,-0.5,22,12,8,63,,3,,74,46,8,22
2002-03,28,DEN,NBA,C,29,616,,,,37%,63%,-11.9,-3.0,21,3,3,40,,1,,99,26,6,19
2003-04,29,DEN,NBA,C,72,2162,,,,20%,80%,+1.7,+1.7,60,23,15,157,,10,,281,58,16,25
2004-05,30,DEN,NBA,C,66,2015,,,,30%,70%,+3.1,+2.0,61,19,23,99,,13,,324,73,14,18
2005-06,31,DEN,NBA,C,56,1857,,,,26%,74%,+1.0,+1.5,48,25,19,88,,11,,240,66,15,15
2006-07,32,DEN,NBA,C,70,2369,,,,37%,63%,+2.4,+1.4,63,26,33,113,,13,,481,100,21,26
2007-08,33,DEN,NBA,C,79,2758,,,,3%,97%,+3.8,+1.0,76,21,21,145,,4,,547,75,12,20
2008-09,34,LAC,NBA,C,62,1925,,,,24%,76%,-6.0,+7.7,53,25,15,88,,5,,266,81,16,20
2009-10,35,TOT,NBA,PF-C,74,2314,,,,60%,40%,+2.2,+5.5,67,19,5,0,,0,,393,0,14,16
2009-10,35,LAC,NBA,PF,51,1596,,,,82%,18%,-2.2,+8.1,47,12,5,71,,2,,319,34,9,14
2009-10,35,POR,NBA,C,23,718,,,,9%,91%,+12.7,+10.7,20,7,0,36,,0,,74,12,5,2
2010-11,36,POR,NBA,C,59,1540,,,,10%,90%,+2.1,+0.8,42,12,8,81,,4,,251,35,10,8
2011-12,37,TOT,NBA,C,59,1352,,,,14%,86%,+2.0,+3.0,43,5,9,0,,0,,227,0,10,11
2011-12,37,POR,NBA,C,40,894,,,,21%,79%,+2.1,+4.6,35,5,7,53,,5,,162,15,6,8
2011-12,37,HOU,NBA,C,19,458,,,,1%,99%,+1.7,+1.5,8,0,2,22,,1,,65,11,4,3
2012-13,38,NYK,NBA,PF,24,250,,,,29%,71%,-2.6,-7.5,8,3,4,13,,3,0,29,8,1,4
