Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1998-99,24,NYK,NBA,C,20,509,24.8,.591,.007,.510,12.2,24.8,18.5,2.3,2.7,6.3,7.9,18.4,,1.6,1.3,3.0,.280,,2.6,4.8,7.4,1.2
1999-00,25,NYK,NBA,C,16,386,10.6,.386,.012,.360,11.1,23.3,17.3,2.7,1.2,5.0,10.7,14.8,,-0.3,0.8,0.5,.064,,-4.6,3.2,-1.4,0.1
2000-01,26,NYK,NBA,C,4,141,9.1,.394,.000,.500,3.9,23.4,14.4,7.9,0.8,4.5,5.9,11.9,,0.0,0.2,0.2,.058,,-4.6,4.7,0.1,0.1
2003-04,29,DEN,NBA,C,5,194,17.1,.515,.036,.255,7.6,28.0,16.9,9.7,1.1,2.8,8.9,15.3,,0.4,0.2,0.6,.137,,-1.1,4.0,2.9,0.2
2004-05,30,DEN,NBA,C,5,184,12.7,.482,.000,.659,2.4,34.8,17.8,8.5,0.9,7.2,17.2,16.2,,-0.2,0.4,0.2,.045,,-6.8,7.8,1.0,0.1
2005-06,31,DEN,NBA,C,5,175,15.9,.432,.000,.145,7.4,31.8,17.9,11.8,1.2,6.3,5.7,17.6,,0.0,0.4,0.4,.108,,-3.3,5.9,2.5,0.2
2006-07,32,DEN,NBA,C,5,184,13.7,.399,.000,.133,7.6,38.1,23.1,8.9,1.2,6.7,17.3,14.5,,-0.2,0.4,0.2,.056,,-6.5,9.3,2.8,0.2
2007-08,33,DEN,NBA,C,4,124,10.1,.275,.048,.286,8.9,37.4,22.5,13.0,1.6,7.2,29.7,11.2,,-0.3,0.1,-0.1,-0.052,,-9.7,10.5,0.8,0.1
2009-10,35,POR,NBA,C,6,178,13.8,.431,.026,.158,10.6,31.8,20.7,13.2,1.2,3.6,6.9,11.8,,0.1,0.1,0.2,.064,,-4.6,5.9,1.3,0.1
2010-11,36,POR,NBA,C,6,167,13.1,.459,.045,.091,13.8,28.9,21.6,7.6,1.4,4.8,17.9,8.5,,0.1,0.2,0.3,.089,,-3.6,6.5,2.9,0.2
2012-13,38,NYK,NBA,PF,3,3,27.2,1.000,.000,.000,36.7,42.8,39.5,0.0,0.0,0.0,50.0,32.1,,0.0,0.0,0.0,.055,,-2.6,-9.8,-12.4,0.0
