Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2004-05,24,CHI,NBA,PG,6,6,213,10.5,23.4,.450,4.0,7.7,.515,6.5,15.7,.418,4.7,6.8,.690,0.9,4.2,5.1,8.2,2.8,0.9,3.3,4.2,29.7,,115,107
2005-06,25,CHI,NBA,PG,6,6,234,8.5,20.4,.415,2.0,5.7,.346,6.5,14.8,.441,7.8,9.1,.857,0.0,4.3,4.3,10.0,1.7,0.4,5.2,4.8,26.7,,105,108
2006-07,26,CHI,NBA,PG,10,10,362,6.5,17.4,.376,1.9,6.4,.302,4.6,11.0,.419,3.0,3.9,.769,0.6,5.6,6.2,11.1,1.3,0.4,3.4,5.5,17.9,,102,104
2008-09,28,CHI,NBA,SG,7,0,210,7.2,15.3,.468,3.2,7.4,.433,3.9,7.9,.500,4.2,6.2,.680,0.5,4.2,4.7,4.9,3.0,0.7,2.0,4.4,21.7,,120,109
2009-10,29,CHI,NBA,SG,5,5,196,5.8,13.8,.423,2.1,4.2,.500,3.7,9.5,.389,2.7,3.7,.714,0.3,5.6,5.8,5.3,1.9,0.0,0.5,3.7,16.4,,118,115
2010-11,30,ATL,NBA,PG,6,6,173,8.4,16.8,.500,2.6,6.1,.421,5.8,10.7,.545,0.3,0.3,1.000,0.3,4.2,4.5,5.2,2.3,0.6,1.3,6.8,19.7,,116,106
2011-12,31,ATL,NBA,SG,6,4,141,5.0,11.6,.433,2.3,6.2,.375,2.7,5.4,.500,0.8,0.8,1.000,1.5,3.1,4.6,2.3,1.5,0.0,0.8,3.5,13.2,,114,100
2012-13,32,CHI,NBA,PG,4,4,162,5.4,12.5,.432,1.4,3.7,.364,4.1,8.8,.462,3.1,4.7,.643,0.3,3.4,3.7,7.8,2.7,0.3,2.7,4.7,15.3,,107,110
2013-14,33,CHI,NBA,PG,5,5,167,7.7,18.8,.411,2.4,6.4,.368,5.4,12.4,.432,0.7,1.3,.500,0.3,4.7,5.0,7.4,1.3,0.3,3.7,7.4,18.5,,93,110
2014-15,34,CHI,NBA,SG,10,0,126,3.8,8.0,.474,2.5,4.2,.600,1.3,3.8,.333,0.8,1.3,.667,0.0,2.1,2.1,4.6,1.3,0.4,0.4,5.9,11.0,,138,107
2015-16,35,ATL,NBA,PG,6,0,27,3.7,13.0,.286,1.9,5.6,.333,1.9,7.4,.250,0.0,0.0,,0.0,7.4,7.4,5.6,0.0,0.0,0.0,3.7,9.3,,93,110
