Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,24,CHI,NBA,PG,6,6,213,45,100,.450,17,33,.515,28,67,.418,.535,20,29,.690,4,18,22,35,12,4,14,18,127
2005-06,25,CHI,NBA,PG,6,6,234,39,94,.415,9,26,.346,30,68,.441,.463,36,42,.857,0,20,20,46,8,2,24,22,123
2006-07,26,CHI,NBA,PG,10,10,362,44,117,.376,13,43,.302,31,74,.419,.432,20,26,.769,4,38,42,75,9,3,23,37,121
2008-09,28,CHI,NBA,SG,7,0,210,29,62,.468,13,30,.433,16,32,.500,.573,17,25,.680,2,17,19,20,12,3,8,18,88
2009-10,29,CHI,NBA,SG,5,5,196,22,52,.423,8,16,.500,14,36,.389,.500,10,14,.714,1,21,22,20,7,0,2,14,62
2010-11,30,ATL,NBA,PG,6,6,173,26,52,.500,8,19,.421,18,33,.545,.577,1,1,1.000,1,13,14,16,7,2,4,21,61
2011-12,31,ATL,NBA,SG,6,4,141,13,30,.433,6,16,.375,7,14,.500,.533,2,2,1.000,4,8,12,6,4,0,2,9,34
2012-13,32,CHI,NBA,PG,4,4,162,16,37,.432,4,11,.364,12,26,.462,.486,9,14,.643,1,10,11,23,8,1,8,14,45
2013-14,33,CHI,NBA,PG,5,5,167,23,56,.411,7,19,.368,16,37,.432,.473,2,4,.500,1,14,15,22,4,1,11,22,55
2014-15,34,CHI,NBA,SG,10,0,126,9,19,.474,6,10,.600,3,9,.333,.632,2,3,.667,0,5,5,11,3,1,1,14,26
2015-16,35,ATL,NBA,PG,6,0,27,2,7,.286,1,3,.333,1,4,.250,.357,0,0,,0,4,4,3,0,0,0,2,5
