Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2001-02,20,PHI,NBA,C,34,177,,,,9%,91%,-3.1,-5.3,3,5,6,14,,5,,10,5,0,5
2003-04,22,PHI,NBA,C,82,2197,,,,4%,96%,-0.9,+3.8,24,25,37,190,,10,,47,77,13,35
2004-05,23,PHI,NBA,C,72,1785,,,,,100%,+1.2,+3.6,40,24,50,149,,17,,82,68,18,30
2005-06,24,PHI,NBA,C,66,1761,,,,,100%,-2.3,-0.6,30,35,42,160,,12,,58,59,14,25
2006-07,25,PHI,NBA,C,82,2535,,,,,100%,-0.6,+7.1,49,39,73,156,,31,,135,113,32,32
2007-08,26,PHI,NBA,C,82,2724,,,,7%,93%,-0.1,-0.9,47,42,66,156,,17,,95,121,24,68
2008-09,27,PHI,NBA,C,82,2036,,,,,100%,+1.4,+3.0,33,31,53,127,,21,,38,50,6,30
2009-10,28,PHI,NBA,C,82,2124,,,,3%,97%,-4.8,-0.2,33,29,61,143,,16,,143,58,7,25
2010-11,29,SAC,NBA,C,80,1938,,,,33%,67%,-5.0,+1.5,39,38,55,119,,24,,146,63,14,34
2011-12,30,HOU,NBA,C,65,1446,,,,,100%,+2.4,+3.7,21,25,36,95,,15,,71,54,5,30
2012-13,31,MIL,NBA,C,47,765,,,,,100%,-7.7,-7.2,20,9,22,52,,10,0,44,25,6,17
2013-14,32,DAL,NBA,C,80,1614,,,,1%,99%,+0.7,-2.9,19,29,42,104,5,23,0,91,62,8,42
2014-15,33,NYK,NBA,C,32,544,,,,26%,74%,-13.8,-4.1,17,12,10,34,3,7,0,63,10,2,6
