Player,Sim,1,2,3,4,5,6,7,8,9
Emeka Okafor,,8.2,7.1,6.5,5.8,5.5,4.5,4.0,1.7,1.0
Mike Gminski,95.0,9.2,7.0,6.5,6.1,5.4,4.3,4.0,1.8,1.5
Sam Lacey,91.6,7.7,7.4,6.5,5.6,5.0,4.3,2.7,1.2,0.3
Mychal Thompson,90.3,8.2,6.9,6.1,5.4,5.3,4.6,4.4,3.7,2.6
Red Rocha,89.9,7.8,7.2,7.0,6.5,5.1,5.0,4.6,3.6,1.0
Tree Rollins,89.0,9.2,7.3,6.4,6.4,5.5,5.0,3.8,3.4,2.6
Darryl Dawkins,88.9,7.9,6.4,6.3,5.7,4.6,4.0,2.9,2.1,0.1
Caldwell Jones,88.0,8.1,7.6,6.2,5.5,5.2,5.0,4.4,3.9,3.1
Ray Felix,87.3,8.6,7.2,5.8,5.5,5.5,2.3,2.0,1.8,0.8
Andrew Bogut,86.6,7.5,6.5,5.5,5.4,4.8,4.0,2.6,1.7,0.5
James Edwards,86.3,7.1,7.0,6.7,4.5,4.4,4.3,3.7,3.0,1.4
