Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2004-05,24,SEA,NBA,C,82,1396,,,,17%,83%,+4.9,+3.2,15,20,27,135,,18,,71,56,23,55
2005-06,25,SEA,NBA,PF,66,1448,,,,51%,48%,+1.0,+6.7,31,16,30,111,,17,,159,52,15,33
2006-07,26,SEA,NBA,C,82,2378,,,,24%,76%,-2.2,+2.7,44,22,57,172,,14,,178,94,27,67
2007-08,27,SEA,NBA,PF,78,2223,,,,47%,53%,-8.1,+2.3,35,42,41,157,,22,,253,87,28,66
2008-09,28,OKC,NBA,C,71,1831,,,,27%,73%,-5.9,+1.6,16,22,35,156,,11,,144,64,12,37
2009-10,29,OKC,NBA,C,75,1557,,,,18%,82%,+9.9,+9.3,14,12,37,143,,24,,86,44,6,33
2010-11,30,OKC,NBA,C,71,1524,,,,8%,92%,+11.0,+10.8,15,20,20,108,,16,,156,39,15,33
2011-12,31,OKC,NBA,PF,63,1307,,,,55%,45%,+11.4,+7.7,17,19,25,85,,11,,204,29,8,25
2012-13,32,OKC,NBA,C,81,1583,,,,42%,58%,+12.0,+3.8,25,23,21,76,,12,1,289,35,4,36
2013-14,33,OKC,NBA,PF,81,1353,,,10%,49%,41%,+11.9,+7.7,32,20,19,81,18,14,3,240,37,7,30
2014-15,34,OKC,NBA,PF,66,1101,,,,79%,21%,+3.4,+1.9,24,7,14,75,16,10,2,206,23,10,12
2015-16,35,OKC,NBA,PF,59,699,,,,86%,14%,+2.7,-5.5,17,18,15,49,8,7,2,112,15,1,10
2016-17,36,OKC,NBA,PF,12,69,,,,87%,13%,+2.7,+3.2,0,2,0,2,0,0,2,16,2,1,0
