Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2005-06,18,DET,NBA,SF,3,39,.700,8.2,.700,.600,.000,.100,.000,.300,.714,.833,,.000,,.667,.600,.200,2,1.000,1.000,.667,0,0
2006-07,19,DET,NBA,PF,8,124,.545,4.3,.909,.667,.242,.000,.000,.091,.600,.773,.125,,,.000,.500,.242,7,,.333,.000,0,0
2007-08,20,DET,NBA,PF,62,764,.558,2.8,1.000,.715,.170,.073,.042,.000,.558,.678,.321,.250,.000,,.511,.182,30,,,,0,0
2008-09,21,DET,NBA,PF,62,911,.595,4.1,1.000,.681,.160,.018,.141,.000,.595,.676,.462,.333,.391,,.577,.209,32,,,,0,0
2009-10,22,TOR,NBA,PF,82,1453,.623,4.3,.988,.659,.225,.024,.081,.012,.630,.732,.413,.375,.481,.000,.678,.153,49,,.250,.000,3,0
2010-11,23,TOR,NBA,PF,72,1853,.568,6.2,.998,.564,.212,.026,.196,.002,.569,.699,.381,.231,.443,.000,.641,.145,67,,1.000,.000,0,0
2011-12,24,TOR,NBA,PF,64,1553,.576,7.5,.985,.509,.188,.050,.238,.015,.579,.734,.484,.353,.370,.400,.696,.162,49,.500,.600,.667,0,0
2012-13,25,TOR,NBA,PF,81,2325,.554,7.6,.979,.464,.244,.056,.215,.021,.558,.687,.541,.324,.362,.385,.710,.111,63,1.000,.385,.400,1,0
2013-14,26,TOR,NBA,PF,77,2214,.562,7.8,.892,.436,.297,.047,.111,.108,.593,.712,.478,.586,.441,.303,.710,.103,57,.950,.242,.188,0,0
2014-15,27,TOR,NBA,PF,75,1979,.574,5.8,.911,.489,.351,.025,.044,.089,.590,.701,.467,.385,.478,.413,.685,.089,42,1.000,.196,.333,0,0
2015-16,28,BOS,NBA,PF,79,1800,.585,5.2,.899,.547,.305,.035,.014,.101,.624,.712,.508,.400,.333,.233,.665,.134,56,1.000,.233,.500,1,0
2016-17,29,BOS,NBA,PF,48,953,.552,6.7,.833,.534,.285,.005,.009,.167,.587,.703,.397,.000,.000,.378,.759,.104,20,1.000,.297,.364,0,0
