Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2007-08,19,PHI,NBA,PF,74,1554,.539,6.2,.961,.516,.212,.084,.149,.039,.548,.628,.538,.366,.384,.316,.651,.094,43,1.000,.632,.417,0,0
2008-09,20,PHI,NBA,PF,75,2580,.495,9.7,.829,.395,.196,.095,.144,.171,.526,.636,.441,.341,.464,.341,.597,.074,69,.929,.305,.380,0,0
2009-10,21,PHI,NBA,PF,67,2145,.470,8.7,.830,.456,.181,.075,.118,.170,.495,.623,.388,.262,.313,.348,.494,.055,44,.938,.362,.320,1,0
2010-11,22,PHI,NBA,PF,82,2135,.541,7.3,.974,.468,.235,.089,.183,.026,.548,.735,.397,.307,.381,.273,.662,.105,84,.833,.273,.167,1,0
2011-12,23,PHI,NBA,PF,63,1755,.507,7.8,.994,.389,.255,.156,.195,.006,.508,.682,.417,.327,.425,.250,.651,.073,46,1.000,.250,1.000,0,0
2012-13,24,PHI,NBA,PF,76,2629,.531,7.0,.992,.452,.248,.102,.189,.008,.535,.670,.454,.357,.414,.125,.720,.093,82,1.000,.750,.167,0,0
2013-14,25,PHI,NBA,PF,79,2718,.454,10.3,.772,.377,.223,.060,.112,.228,.496,.645,.374,.338,.326,.308,.559,.048,57,.922,.188,.309,0,0
2014-15,26,TOT,NBA,PF,76,2434,.466,8.6,.881,.392,.281,.083,.124,.119,.484,.628,.404,.350,.300,.330,.557,.030,26,.921,.165,.263,1,0
2014-15,26,MIN,NBA,PF,48,1605,.451,8.9,.899,.365,.273,.103,.154,.101,.469,.598,.429,.364,.303,.292,.556,.027,14,.947,.185,.167,1,0
2014-15,26,BRK,NBA,PF,28,829,.495,8.0,.847,.443,.297,.043,.064,.153,.516,.676,.361,.286,.286,.380,.559,.037,12,.895,.140,.429,0,0
2015-16,27,BRK,NBA,PF,73,2407,.514,6.6,.969,.388,.388,.053,.139,.031,.523,.612,.497,.333,.418,.233,.559,.030,27,.714,.300,.111,2,0
2016-17,28,IND,NBA,PF,48,1502,.521,10.3,.756,.358,.266,.046,.088,.244,.561,.650,.537,.333,.375,.396,.731,.055,20,.955,.468,.365,1,0
