Player,Sim,1,2,3,4,5,6,7,8,9
Thaddeus Young,,7.4,6.3,6.2,5.5,4.5,4.1,3.5,3.1,2.1
Eddie Johnson,95.4,7.4,6.5,5.6,5.3,4.3,4.0,3.9,3.0,1.8
Keith Van Horn,94.8,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3
Joe Smith,94.1,6.8,6.3,6.1,4.7,4.4,4.4,3.7,3.0,2.6
Luis Scola,93.7,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5
Junior Bridgeman,93.0,6.7,6.1,5.5,5.1,4.8,4.0,3.6,2.6,2.1
Wayman Tisdale,92.7,7.0,5.9,5.7,5.6,5.4,4.5,3.4,3.2,1.8
Juwan Howard,92.0,7.0,6.0,5.6,4.9,4.6,4.4,2.8,2.8,1.9
Caron Butler,90.9,7.2,6.3,5.3,5.3,5.1,4.5,3.5,2.1,1.2
Thurl Bailey,90.1,6.8,6.5,5.4,4.6,4.0,3.7,3.6,3.1,2.6
Cliff Levingston,89.9,7.0,6.1,5.5,5.5,5.3,4.7,3.4,2.0,1.3
