Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,881,28333,,14%,83%,3%,,-0.5,+1.1,605,412,576,704,3,262,5,4551,1023,247,677
5 seasons,,WAS,NBA,,310,11934,,19%,79%,2%,,-0.9,+3.7,328,208,293,333,0,138,0,2464,603,132,292
2 seasons,,MIA,NBA,,146,4888,,6%,91%,3%,,-3.4,-2.1,102,94,87,155,0,60,0,758,212,43,161
2 seasons,,LAC,NBA,,141,3750,,4%,94%,2%,,+7.4,+6.0,43,41,65,117,0,29,2,360,80,16,79
1 season,,DET,NBA,,78,1623,,12%,88%,,,-1.5,-0.1,32,6,11,65,3,6,3,184,19,6,8
1 season,,LAL,NBA,,77,2746,,24%,76%,,,-4.7,-3.9,49,24,52,60,0,38,0,345,140,33,71
2 seasons,,DAL,NBA,,56,1797,,16%,83%,1%,,+5.8,+2.6,23,25,48,53,0,21,0,224,83,13,48
1 season,,MIL,NBA,,34,821,,4%,67%,29%,,-12.4,-4.3,22,11,19,22,6,10,1,130,18,3,10
1 season,,OKC,NBA,,22,598,,20%,75%,5%,,+2.2,-5.4,5,2,1,30,2,1,2,62,6,0,8
1 season,,SAC,NBA,,17,176,,7%,85%,8%,,-12.8,-10.5,1,1,0,11,0,0,0,24,4,1,0
