Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Career,,,NBA,,881,28333,15.0,.523,.202,.278,4.4,13.6,9.0,12.3,2.2,0.6,11.8,21.7,,26.6,24.3,50.9,.086,,0.3,-0.1,0.2,15.9
5 seasons,,WAS,NBA,,310,11934,17.8,.539,.143,.321,5.1,15.1,10.0,16.1,2.5,0.6,13.2,23.7,,15.5,9.9,25.4,.102,,1.5,0.2,1.8,11.3
2 seasons,,MIA,NBA,,146,4888,13.3,.479,.090,.331,5.3,12.0,8.6,12.8,2.4,0.7,12.9,21.1,,1.3,5.9,7.3,.071,,-1.1,1.2,0.1,2.6
2 seasons,,LAC,NBA,,141,3750,12.1,.518,.412,.138,2.7,11.7,7.2,6.7,1.5,0.4,9.0,20.3,,3.2,2.7,5.9,.075,,-0.2,-1.7,-1.9,0.1
1 season,,DET,NBA,,78,1623,9.3,.544,.553,.154,1.4,12.2,6.6,7.3,1.4,0.2,10.4,12.9,,1.3,1.0,2.4,.070,,-1.0,-0.5,-1.5,0.2
1 season,,LAL,NBA,,77,2746,15.8,.528,.126,.322,6.0,12.4,9.2,9.3,2.1,0.6,9.9,20.7,,4.1,1.2,5.3,.093,,0.4,-0.7,-0.2,1.2
2 seasons,,DAL,NBA,,56,1797,14.2,.516,.156,.261,3.8,12.9,8.5,8.8,2.2,0.7,10.5,23.6,,0.4,2.3,2.7,.071,,-1.2,0.4,-0.8,0.5
1 season,,MIL,NBA,,34,821,12.4,.494,.415,.158,2.2,20.5,11.0,11.9,1.5,1.1,12.1,23.7,,-0.2,0.5,0.2,.014,,-1.7,-2.1,-3.9,-0.4
1 season,,OKC,NBA,,22,598,11.9,.548,.548,.102,1.0,11.9,6.7,6.4,2.0,0.8,4.0,15.0,,0.9,0.7,1.6,.127,,0.6,-0.4,0.2,0.3
1 season,,SAC,NBA,,17,176,11.3,.490,.305,.203,3.1,10.4,6.8,8.3,2.5,0.5,4.5,16.2,,0.1,0.1,0.3,.071,,-1.5,-1.1,-2.6,0.0
