Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,22,MIA,NBA,SF,78,78,2858,5.4,13.0,.416,0.4,1.3,.318,5.0,11.7,.427,3.9,4.7,.824,1.7,3.3,5.0,2.7,1.7,0.4,2.4,2.9,15.1
2003-04,23,MIA,NBA,SF,68,56,2030,4.3,11.2,.380,0.2,0.7,.238,4.1,10.4,.390,2.4,3.1,.756,1.6,4.1,5.8,2.2,1.3,0.2,1.6,2.9,11.0
2004-05,24,LAL,NBA,SF,77,77,2746,5.8,13.0,.445,0.5,1.6,.304,5.3,11.4,.465,3.6,4.2,.862,1.9,4.0,5.9,1.9,1.4,0.3,1.6,2.8,15.7
2005-06,25,WAS,NBA,SF,75,54,2708,6.6,14.4,.455,0.5,1.6,.342,6.0,12.8,.469,3.8,4.4,.870,1.5,4.7,6.2,2.5,1.7,0.2,2.3,3.2,17.5
2006-07,26,WAS,NBA,SF,63,63,2474,6.6,14.2,.463,0.3,1.0,.250,6.3,13.1,.480,4.1,4.8,.863,2.1,4.7,6.8,3.4,1.9,0.2,2.6,2.7,17.5
2007-08,27,WAS,NBA,SF,58,58,2314,6.8,14.7,.466,1.0,2.9,.357,5.8,11.8,.492,3.7,4.1,.901,1.4,4.6,6.0,4.4,2.0,0.3,2.3,2.5,18.4
2008-09,28,WAS,NBA,SG,67,67,2585,6.8,15.1,.453,0.9,2.9,.310,5.9,12.2,.487,4.8,5.6,.858,1.6,4.1,5.8,4.0,1.5,0.3,2.9,2.3,19.4
2009-10,29,TOT,NBA,SF-SG,74,74,2783,5.8,13.6,.428,0.5,1.9,.290,5.3,11.7,.450,3.4,4.1,.838,1.3,4.6,6.0,2.0,1.5,0.3,2.1,2.5,15.6
2009-10,29,WAS,NBA,SF,47,47,1853,5.7,13.5,.422,0.5,1.8,.263,5.2,11.6,.447,3.6,4.1,.877,1.3,4.8,6.1,2.1,1.3,0.3,2.2,2.4,15.5
2009-10,29,DAL,NBA,SG,27,27,930,6.1,13.8,.440,0.7,1.9,.340,5.4,11.9,.456,3.1,4.0,.760,1.4,4.2,5.6,1.9,1.9,0.3,1.8,2.6,15.9
2010-11,30,DAL,NBA,SF,29,29,867,7.1,15.7,.450,1.2,2.7,.431,5.9,13.0,.454,2.8,3.7,.773,0.9,4.0,4.9,1.9,1.2,0.3,2.0,2.4,18.1
2011-12,31,LAC,NBA,SF,63,63,1871,5.5,13.6,.407,1.8,4.9,.358,3.8,8.6,.435,1.7,2.1,.813,0.8,3.6,4.4,1.5,1.0,0.2,1.5,2.4,14.5
2012-13,32,LAC,NBA,SF,78,78,1879,5.8,13.8,.424,2.5,6.3,.388,3.4,7.5,.454,1.4,1.7,.833,0.8,3.5,4.3,1.5,1.0,0.2,1.4,2.7,15.6
2013-14,33,TOT,NBA,SF,56,13,1419,5.4,13.7,.394,2.5,6.3,.394,2.9,7.4,.395,1.6,1.9,.840,0.5,5.3,5.8,2.1,1.2,0.4,1.5,3.0,14.9
2013-14,33,MIL,NBA,SF,34,13,821,6.0,15.5,.387,2.3,6.4,.361,3.7,9.1,.406,2.1,2.5,.839,0.7,6.2,6.9,2.5,1.0,0.5,2.3,2.8,16.4
2013-14,33,OKC,NBA,SF,22,0,598,4.6,11.2,.409,2.7,6.1,.441,1.9,5.1,.369,1.0,1.1,.842,0.3,4.0,4.3,1.6,1.4,0.4,0.5,3.4,12.8
2014-15,34,DET,NBA,SF,78,21,1623,3.6,8.8,.407,1.8,4.9,.379,1.7,3.9,.441,1.2,1.4,.902,0.5,3.9,4.3,1.8,1.0,0.1,1.1,2.7,10.2
2015-16,35,SAC,NBA,SF,17,1,176,5.1,12.1,.424,0.6,3.7,.167,4.5,8.4,.537,2.0,2.5,.833,1.0,3.5,4.5,2.0,1.8,0.2,0.6,3.9,12.9
