Player,Sim,1,2,3,4,5,6,7,8,9,10
Mehmet Okur,,9.3,8.8,7.4,7.0,6.7,5.9,5.6,3.8,0.2,0.0
Dan Roundfield,91.0,9.1,8.7,7.4,7.1,7.0,6.9,6.5,3.9,2.7,1.3
Larry Kenon,90.8,10.0,9.5,8.8,7.5,6.2,5.9,5.4,4.1,0.9,0.2
Hot Rod Williams,89.4,9.2,8.7,7.7,7.5,7.4,5.7,5.3,4.5,2.8,2.4
Rodney McCray,88.8,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9
Clifford Robinson,88.7,8.7,8.0,7.5,7.1,6.8,6.6,5.3,4.6,4.2,0.3
Rudy LaRusso,88.4,8.8,8.6,7.3,7.0,6.9,6.3,5.5,5.4,3.9,1.7
Lamar Odom,88.4,9.7,9.2,8.4,6.9,6.5,4.7,4.7,3.2,2.2,0.7
Tayshaun Prince,88.3,9.4,8.0,7.5,7.5,7.0,6.2,3.3,3.2,2.1,0.8
Tom Heinsohn,87.7,9.3,7.7,7.1,6.8,6.6,6.5,6.2,6.0,3.6,
Wally Szczerbiak,87.6,8.7,8.0,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6
