Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,21,CHI,NBA,SF,76,2363,,2%,89%,10%,,-8.0,+5.7,46,47,66,94,,27,,483,108,21,66
2001-02,22,TOT,NBA,SF,55,1642,,27%,67%,6%,,-0.5,+5.2,38,33,47,0,,0,,272,0,21,40
2001-02,22,CHI,NBA,SF,27,823,,22%,68%,10%,,-6.1,+4.3,21,18,30,24,,21,,165,59,11,19
2001-02,22,IND,NBA,SF,28,819,,32%,66%,2%,,+5.1,+6.3,17,15,17,25,,11,,107,34,10,21
2002-03,23,IND,NBA,SF,69,2317,,29%,70%,1%,,+7.2,+8.8,49,48,48,74,,21,,438,158,39,77
2003-04,24,IND,NBA,SF,73,2714,,11%,89%,,,+9.5,+9.1,79,55,68,66,,38,,608,184,49,109
2004-05,25,IND,NBA,SF,7,291,,70%,30%,1%,,+6.5,+6.1,5,4,8,8,,5,,56,18,6,13
2005-06,26,TOT,NBA,SF,56,2207,,,97%,3%,,+7.9,+8.5,44,34,53,0,,0,,478,0,34,68
2005-06,26,IND,NBA,SF,16,603,,,98%,2%,,+9.4,+9.0,11,7,25,11,,12,,84,52,10,20
2005-06,26,SAC,NBA,SF,40,1604,,1%,96%,3%,,+7.3,+9.3,33,27,28,38,,12,,394,80,24,48
2006-07,27,SAC,NBA,SF,70,2641,,1%,71%,28%,1%,+0.7,+7.6,34,41,71,70,,38,,548,186,40,75
2007-08,28,SAC,NBA,SF,57,2172,,,55%,44%,1%,+1.8,+9.3,50,47,51,59,,24,,460,142,27,61
2008-09,29,HOU,NBA,SF,69,2452,,4%,92%,4%,,+7.1,+6.9,62,27,51,46,,28,,513,112,21,77
2009-10,30,LAL,NBA,SF,77,2605,,,97%,3%,,+7.2,+5.9,49,25,47,56,,28,,515,81,24,56
2010-11,31,LAL,NBA,SF,82,2410,,,98%,2%,,+9.7,+7.2,39,20,31,68,,18,,385,61,13,45
2011-12,32,LAL,NBA,SF,64,1720,,14%,86%,,,+1.7,+0.4,32,18,19,50,,11,,309,52,12,29
2012-13,33,LAL,NBA,SF,75,2530,,1%,83%,16%,,+4.4,+7.5,31,33,34,65,,22,12,264,68,13,61
2013-14,34,NYK,NBA,SF,29,388,,3%,60%,37%,,+2.2,+3.6,7,5,7,11,1,2,0,43,8,2,7
2015-16,36,LAL,NBA,SF,35,590,,,92%,8%,,-5.3,+5.8,5,5,5,22,1,3,2,60,22,2,15
2016-17,37,LAL,NBA,SF,17,79,,19%,54%,26%,,-43.3,-37.9,0,3,0,5,1,0,0,10,2,0,2
