Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2005-06,18,LAL,NBA,C,46,338,.402,3.4,1.000,.573,.366,.049,.012,.000,.402,.468,.333,.250,.000,,.576,.110,8,,,,0,0
2006-07,19,LAL,NBA,C,82,1793,.558,3.4,.993,.569,.354,.063,.007,.007,.561,.683,.408,.393,.000,.000,.660,.149,66,,.333,.000,1,0
2007-08,20,LAL,NBA,C,35,1008,.636,2.5,1.000,.700,.246,.044,.010,.000,.636,.721,.479,.308,.000,,.556,.310,88,,,,0,0
2008-09,21,LAL,NBA,C,50,1446,.560,4.2,1.000,.522,.343,.102,.034,.000,.560,.687,.442,.431,.176,,.637,.209,100,,,,0,0
2009-10,22,LAL,NBA,C,65,1977,.570,4.0,.999,.536,.346,.094,.022,.001,.571,.699,.454,.354,.200,.000,.587,.186,124,,1.000,.000,0,0
2010-11,23,LAL,NBA,C,54,1500,.574,3.9,1.000,.496,.446,.058,.000,.000,.574,.746,.418,.292,,,.574,.199,77,,,,0,0
2011-12,24,LAL,NBA,C,60,2112,.558,4.6,.994,.476,.435,.068,.015,.006,.560,.755,.405,.296,.083,.200,.675,.176,136,1.000,.200,.000,0,0
2013-14,26,TOT,NBA,C,26,516,.418,7.1,1.000,.316,.404,.213,.067,.000,.418,.521,.352,.375,.467,,.479,.058,12,,,,0,0
2013-14,26,CLE,NBA,C,24,480,.419,7.3,1.000,.300,.404,.227,.069,.000,.419,.508,.366,.370,.500,,.482,.059,11,,,,0,0
2013-14,26,IND,NBA,C,2,36,.409,5.0,1.000,.455,.409,.091,.045,.000,.409,.600,.222,.500,.000,,.444,.045,1,,,,0,0
