Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Career,,,NBA,,902,21343,12.7,.541,.456,.216,5.6,16.3,11.0,11.3,1.7,1.6,14.2,16.7,,18.7,22.4,41.2,.093,,0.3,0.7,1.0,16.0
4 seasons,,LAC,NBA,,257,6788,12.7,.561,.508,.185,4.7,13.8,9.4,9.0,1.8,1.7,12.6,16.1,,7.6,7.2,14.7,.104,,1.0,0.8,1.8,6.5
2 seasons,,GSW,NBA,,149,3227,13.9,.532,.440,.189,6.0,16.9,11.3,13.1,1.8,1.8,14.1,17.7,,2.8,3.1,6.0,.089,,0.0,0.4,0.4,2.0
2 seasons,,LAL,NBA,,116,2460,15.1,.560,.368,.308,8.1,17.6,13.1,12.4,1.6,2.1,14.8,16.5,,3.8,3.4,7.3,.142,,0.9,1.4,2.3,2.6
2 seasons,,SAC,NBA,,90,1868,9.0,.473,.421,.234,5.7,16.7,11.1,14.2,1.6,0.9,18.0,15.4,,-0.6,1.3,0.8,.019,,-2.3,0.0,-2.3,-0.1
1 season,,ORL,NBA,,81,2097,13.6,.576,.372,.262,6.1,18.0,12.3,10.1,1.5,1.1,15.3,16.2,,2.5,3.4,5.9,.135,,0.5,2.2,2.7,2.5
1 season,,PHO,NBA,,77,2082,12.6,.537,.506,.202,4.6,18.5,11.8,14.2,1.2,0.9,15.0,18.3,,1.6,1.4,3.0,.069,,0.9,-0.4,0.5,1.3
1 season,,MEM,NBA,,76,2190,11.7,.503,.534,.199,4.2,18.3,10.9,11.6,1.8,2.4,13.8,17.9,,0.4,2.2,2.6,.056,,-0.4,0.8,0.4,1.3
1 season,,PHI,NBA,,50,538,10.8,.578,.100,.391,8.9,12.2,10.5,6.3,1.5,1.0,15.7,13.0,,0.6,0.4,1.0,.090,,-1.6,-1.0,-2.6,-0.1
1 season,,NYK,NBA,,6,93,9.8,.409,.133,.133,9.1,22.5,15.7,10.9,2.3,0.0,15.9,18.4,,-0.1,0.1,0.0,-0.012,,-3.7,-0.2,-3.9,0.0
