Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,901,21304,.436,14.3,.544,.308,.132,.028,.077,.456,.522,.630,.395,.312,.381,.335,.684,.040,230,.944,.381,.343,18,0
4 seasons,,LAC,NBA,,257,6788,.450,15.0,.492,.297,.119,.018,.058,.508,.555,.658,.412,.343,.398,.347,.723,.046,86,.965,.432,.353,1,0
2 seasons,,GSW,NBA,,149,3227,.432,14.4,.560,.276,.161,.028,.095,.440,.506,.658,.355,.267,.392,.338,.660,.047,44,.969,.333,.369,2,0
2 seasons,,LAL,NBA,,116,2460,.459,12.5,.632,.384,.156,.027,.065,.368,.537,.641,.365,.389,.395,.327,.735,.054,33,.925,.457,.366,4,0
2 seasons,,SAC,NBA,,89,1829,.382,14.9,.579,.247,.159,.032,.144,.421,.433,.530,.378,.200,.373,.311,.701,.021,8,.852,.250,.286,2,0
1 season,,ORL,NBA,,81,2097,.487,11.6,.628,.452,.088,.023,.065,.372,.586,.623,.531,.231,.528,.319,.683,.043,22,.924,.483,.320,4,0
1 season,,PHO,NBA,,77,2082,.423,15.8,.494,.234,.129,.053,.077,.506,.505,.639,.460,.278,.327,.343,.565,.034,20,.923,.346,.339,2,0
1 season,,MEM,NBA,,76,2190,.381,15.4,.466,.270,.107,.029,.061,.534,.449,.561,.311,.400,.214,.322,.634,.013,8,.941,.284,.305,3,0
1 season,,PHI,NBA,,50,538,.536,7.1,.900,.527,.191,.036,.145,.100,.576,.603,.476,.750,.563,.182,.702,.064,7,1.000,.636,.143,0,0
1 season,,NYK,NBA,,6,93,.367,10.3,.867,.367,.200,.067,.233,.133,.385,.636,.333,.000,.143,.250,.700,.067,2,1.000,1.000,.250,0,0
