Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2005-06,19,PHI,NBA,PG,30,145,.442,10.2,.827,.481,.058,.038,.250,.173,.488,.560,.333,.000,.462,.222,.429,.038,2,1.000,.333,.000,0,0
2006-07,20,PHI,NBA,PG,61,688,.441,10.6,.825,.427,.062,.128,.209,.175,.466,.578,.308,.444,.295,.324,.346,.057,12,.833,.243,.333,1,0
2007-08,21,PHI,NBA,PG,80,1862,.424,12.2,.797,.344,.106,.113,.233,.203,.441,.568,.375,.282,.360,.359,.280,.040,27,.709,.229,.429,2,0
2008-09,22,PHI,NBA,SG,81,1919,.398,12.8,.739,.347,.073,.105,.213,.261,.438,.512,.371,.438,.339,.286,.300,.024,20,.619,.295,.338,1,0
2009-10,23,PHI,NBA,PG,64,1912,.470,12.5,.696,.362,.100,.081,.152,.304,.527,.629,.441,.345,.437,.340,.335,.024,16,.886,.257,.377,3,0
2010-11,24,PHI,NBA,SG,75,1747,.406,15.4,.682,.186,.150,.104,.242,.318,.434,.628,.311,.373,.385,.348,.349,.019,12,.614,.182,.391,2,0
2011-12,25,PHI,NBA,PG,64,1682,.407,15.1,.707,.146,.193,.141,.228,.293,.425,.553,.344,.373,.444,.362,.332,.012,7,.602,.135,.355,0,0
2012-13,26,ATL,NBA,SG,39,1119,.422,17.0,.558,.176,.106,.099,.176,.442,.466,.679,.255,.477,.372,.367,.304,.025,11,.681,.270,.472,1,0
2013-14,27,ATL,NBA,PG,60,1445,.400,17.3,.531,.136,.138,.085,.172,.469,.450,.672,.471,.262,.353,.342,.373,.006,3,.608,.286,.348,3,0
2014-15,28,TOR,NBA,SG,80,2016,.404,17.8,.518,.112,.125,.124,.157,.482,.464,.529,.483,.409,.445,.340,.283,.006,6,.559,.230,.485,1,0
2015-16,29,LAL,NBA,SG,67,1907,.408,16.3,.538,.153,.126,.121,.140,.462,.464,.594,.437,.345,.443,.344,.295,.009,4,.655,.259,.361,1,0
2016-17,30,LAL,NBA,SG,52,1265,.439,15.1,.580,.205,.184,.127,.067,.420,.479,.637,.405,.357,.409,.383,.224,.006,4,.566,.166,.500,1,1
