Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2001-02,21,GSW,NBA,PF,82,4,1448,6.2,14.8,.421,0.1,0.3,.333,6.1,14.5,.423,4.2,5.5,.776,3.5,7.8,11.3,2.5,1.3,0.7,2.9,7.6,16.8,,101,109
2002-03,22,GSW,NBA,PF,79,79,2510,6.9,15.2,.451,0.1,0.3,.214,6.8,14.9,.456,5.0,5.9,.841,4.6,11.7,16.4,2.2,1.3,0.6,2.3,5.0,18.7,,113,107
2003-04,23,GSW,NBA,PF,28,0,610,9.4,21.3,.440,0.4,1.5,.294,8.9,19.8,.451,5.3,7.0,.750,4.2,11.0,15.2,1.8,1.1,1.5,3.0,5.1,24.5,,101,102
2004-05,24,GSW,NBA,PF,70,69,2375,8.5,20.5,.414,1.3,3.2,.399,7.2,17.3,.417,5.0,6.9,.730,5.4,10.9,16.4,2.1,1.1,0.7,2.3,4.1,23.3,,106,105
2005-06,25,GSW,NBA,PF,74,74,2516,7.4,17.1,.433,1.2,3.7,.320,6.2,13.4,.464,5.1,6.5,.787,4.0,11.2,15.2,2.1,1.0,0.5,2.2,3.9,21.2,,110,105
2006-07,26,TOT,NBA,PF,68,48,1852,7.3,15.9,.458,1.6,4.0,.395,5.7,11.9,.479,3.0,4.0,.745,2.7,8.6,11.3,3.4,1.3,1.1,2.1,5.4,19.1,,111,106
2006-07,26,GSW,NBA,PF,26,17,667,5.9,13.1,.450,1.6,4.3,.373,4.3,8.8,.488,3.4,4.8,.712,2.7,8.7,11.4,4.4,1.5,1.2,2.1,4.6,16.8,,114,106
2006-07,26,IND,NBA,PF,42,31,1185,8.1,17.6,.461,1.6,3.9,.409,6.5,13.7,.476,2.7,3.5,.772,2.8,8.5,11.3,2.9,1.1,1.1,2.1,5.8,20.5,,109,105
2007-08,27,IND,NBA,PF,75,61,2106,7.3,16.2,.455,2.2,5.5,.398,5.2,10.7,.484,4.5,5.6,.797,2.5,10.1,12.7,3.8,1.1,0.7,2.2,5.1,21.4,,115,106
2008-09,28,IND,NBA,PF,73,73,2482,7.3,15.4,.475,3.2,7.2,.450,4.1,8.2,.496,3.0,3.7,.826,2.9,14.3,17.3,3.4,1.2,0.7,2.3,4.5,20.9,,120,106
2009-10,29,IND,NBA,PF,72,69,2344,8.1,17.2,.472,2.7,7.0,.384,5.4,10.1,.533,3.2,4.1,.798,2.7,12.8,15.6,3.2,1.5,0.7,2.1,3.7,22.2,,115,103
2010-11,30,TOT,NBA,PF,35,4,466,4.8,13.0,.368,0.6,3.8,.152,4.2,9.3,.457,2.3,3.4,.667,2.5,10.4,12.9,2.6,1.7,0.3,2.3,5.4,12.5,,90,104
2010-11,30,NJN,NBA,PF,18,4,288,4.8,14.1,.342,0.7,4.3,.174,4.1,9.8,.415,1.7,3.2,.529,2.0,11.9,13.9,3.2,1.3,0.4,2.4,5.2,12.1,,83,107
2010-11,30,BOS,NBA,PF,17,0,178,4.8,11.3,.421,0.3,3.0,.100,4.5,8.4,.536,3.3,3.9,.846,3.3,8.1,11.3,1.8,2.4,0.3,2.1,5.7,13.1,,102,99
2011-12,31,LAL,NBA,PF,59,0,956,4.3,9.5,.450,1.6,3.7,.418,2.7,5.8,.471,0.3,0.5,.667,2.2,8.4,10.6,2.8,0.8,0.9,1.4,5.4,10.4,,110,105
2012-13,32,DAL,NBA,PF,14,1,256,4.4,12.2,.361,2.2,7.0,.314,2.2,5.2,.423,2.0,2.2,.909,1.4,8.4,9.8,1.4,2.0,1.2,1.4,5.8,13.0,,99,105
